id,text,category,polarity
1779,The owner and staff are all Japanese as well and that adds to the entire ambiance.,ambience,1
35171678#484493#2,"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",ambience,1
2851,"It's like you are transported to the Italian countryside, very romantic and filled with antiques.",ambience,1
838,The aesthetics of this place are like an airport lounge.,ambience,0
en_CatalRestaurant__UvaBar_477861893:3,"It was romantic - and even nice even with my sister, reminded me of Italy, and had artwork and music that kept up the feeling of being in a Mediterrean villa.",ambience,1
1550,"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",ambience,1
101,i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).,ambience,1
1377,"I found it on a cold night, the perfect spot to warm up.",ambience,1
2897,"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.",ambience,1
1379,"To me it exemplifies Soho, cute, artsy, interesting.",ambience,1
11567247#1415594#2,"The music was fascinating, but left room for conversation, and the bartender made superb drinks.",ambience,1
2998,"Even if the food wasn't this good, the garden is a great place to sit outside and relax.",ambience,1
2254,"Good crowd, good outdoor seating, with a hip japanese vibe.",ambience,1
785,Here you get the zen feel without feeling rigid.,ambience,1
en_PagodaRestaurant_479983203:5,not too fine thought that you feel uncomfortable and have to dress up.,ambience,1
11351814#1650882#5,"The other times I've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a VIP in a not-crowded place, with great food and service.",ambience,1
en_PagodaRestaurant_478006816:1,? The atmosphere is great for any special occasion you might want to celebrate.,ambience,1
1015,A cool place to hang with your friends for a couple of healthy drinks and desserts.,ambience,1
BG#6:1,Decor needs to be upgraded but the food is amazing!,ambience,0
11484031#1129679#0,This little place is wonderfully warm welcoming.,ambience,1
3477,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,ambience,1
3076,Cute and decorative.,ambience,1
2871,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",ambience,1
32938222#1552119#4,"Overall, this is a nice place to take a few friends to hang out at and the service is excellent.",ambience,1
3507,"His wife Tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious.",ambience,1
35816071#637243#3,"The room is a gorgeous, bi-level space and the long bar perfect for a drink.",ambience,1
2968,"Nice ambiance, nice little bar, good bartender, Francois, and good service.",ambience,1
1385,"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.",ambience,1
Z#5:6,Despite the confusing mirrors this will likely be my go-to for modern Japanese food for the foreseeable future.,ambience,0
3127,This place is incredibly tiny.,ambience,0
2502,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",ambience,0
998,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,ambience,1
en_Ray'sBoathouse_477775920:3,"Great seasonal fish and seafood, with a classy waterfront setting.",ambience,1
262,It's a small cute restaurant.,ambience,1
3686,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",ambience,1
263,"Raga's is a romantic, cozy restaurant.",ambience,1
2348,"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.",ambience,1
742,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,ambience,1
997,"This is such a lovely, peaceful place to eat outside.",ambience,1
en_MiopostoCaffe_478542920:0,Open & Cool Place with the Best Pizza and Coffee,ambience,1
en_OpenSesame_477970770:4,the atmosphere is great.,ambience,1
35709451#1061726#0,Has the warmth of a family local yet it is a great place to watch sporting events.,ambience,1
3085,"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",ambience,1
973,"Ambiance and music funky, which I enjoy.",ambience,1
232,The place was quiet and delightful.,ambience,1
2647,Patroon features a nice cigar bar and has great staff.,ambience,1
35509422#0#2,"A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends.",ambience,1
3239,"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.",ambience,1
1153034:3,Very cozy and warm inside.....,ambience,1
2498,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,ambience,1
2121,Indoor was very cozy and cute.,ambience,1
833,Metrazur has a beautiful spot overlooking the main terminal.,ambience,1
901,The photos of the restaurant in its web site are way better than the real look.,ambience,0
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,ambience,0
1555,"Behind this counter, two men are squeezed in.",ambience,0
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,ambience,0
en_ProfessorThom's_478606543:4,"The music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits.",ambience,1
2948,There was no ambiance.,ambience,0
981,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",ambience,0
1718,"Great food, great decor, great service.",ambience,1
en_BlueRibbonSushi_478218512:1,Great value sushi with high quality & nice setting.,ambience,1
en_CatalRestaurant__UvaBar_477861893:0,"Excellent food, nice ambience, fairly expensive",ambience,1
682250:0,"Went here last night - nice decor, good service, but the food was surprisingly excellent.",ambience,1
2412,"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",ambience,1
1002,"The view is spectacular, and the food is great.",ambience,1
768,"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq...",ambience,1
11558693#1436895#1,First walking in the place seemed to have great ambience.,ambience,1
35693216#1233439#1,"The happy hour is so cheap, but that does not reflect the service or the atmosphere.",ambience,1
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",ambience,1
en_MiopostoCaffe_478542920:3,Great open and friendly ambience.,ambience,1
Z#11:3,"Its dark, and cozy.. there is always jazz music playing when we go.",ambience,1
2516,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights.",ambience,1
1321,Its an excellent place to relax and the food is one of the best in the city of New York.,ambience,1
Y#6:2,"An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.",ambience,1
1871,I think the restaurant was too loud (when full) to be romantic.,ambience,0
3144,I had to share my table with a loud group of kids and the service was rude an unattentive.,ambience,0
655,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,ambience,1
2772,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",ambience,0
1430994:0,The view is breathtaking the service is top notch... the ambiance is wonderfull.,ambience,1
