id,text,category,polarity
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,1
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,1
2846,"Not only was the food outstanding, but the little 'perks' were great.",food,1
1571,It is very overpriced and not very tasty.,food,0
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,food,1
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,1
2391,Nevertheless the food itself is pretty good.,food,1
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,0
3195,He has visited Thailand and is quite expert on the cuisine.,food,1
3359,The pizza is the best if you like thin crusted pizza.,food,1
3534,"All the money went into the interior decoration, none of it went to the chefs.",food,0
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,1
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,1
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,1
3192,"The quantity is also very good, you will come out satisfied.",food,1
2384,The fried rice is amazing here.,food,1
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,1
3404,it's a perfect place to have a amanzing indian food.,food,1
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,1
648,I just wonder how you can have such a delicious meal for such little money.,food,1
1623,The wine list is excellent.,food,1
2177,so garantuan that you can't fit them in a toaster.,food,1
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,1
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",food,1
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,1
2787,Try the lasagnette appetizer.,food,1
604,I liked the beer selection!,food,1
2911,"Great food, good size menu, great service and an unpretensious setting.",food,1
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,food,1
728,"With the great variety on the menu , I eat here often and never get bored .",food,1
2925,The menu is very limited - i think we counted 4 or 5 entrees.,food,0
3273,Not too crazy about their sake martini.,food,0
1215,"Great bagels, spreads and a good place to hang out in.",food,1
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,1
3207,We always have a delicious meal and always leave feeling satisfied.,food,1
1755,The pizza was pretty good and huge.,food,1
1688,All my co-workers were amazed at how small the dish was.,food,0
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,1
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,0
3083,"The wait staff is friendly, and the food has gotten better and better!",food,1
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",food,1
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,food,1
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,food,1
3423,We had the lobster sandwich and it was FANTASTIC.,food,1
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",food,1
2804,Deep Fried Skewers are good and still rare to find in NYC.,food,1
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,food,1
2747,Their tuna tartar appetizer is to die for.,food,1
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,1
2033,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",food,1
1402,I love Indian food and consider myself to be quite an expert on it.,food,1
3360,Plenty of choices to make your own creation.,food,1
3316,The lava cake dessert was incredible and I recommend it.,food,1
738,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,0
1549,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,1
2941,good selection of wines ranging from affordable to high end.,food,1
2921,Not impressed with the food.,food,0
1878,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,food,1
3376,"Order the panang duck, it's fantastic.",food,1
1404,They have authentic Indian at amazin prices.,food,1
2639,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",food,1
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food,0
2059,and yes Dal Bukhara is so dam good and so are all the kababs.,food,1
2385,I've been coming here as a child and always come back for the taste.,food,1
2498,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,food,1
2469,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",food,1
567,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,0
3517,The food always tastes fresh and served promptly.,food,1
1599,The pizza here is delicious.,food,1
2548,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",food,1
759,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",food,1
