id,category,text,trans_text
0,taste,특수부위 아주 맛있어요! 보기에는 고기가 두툼해서 질길것 같은데 정말 부드럽고 살살 녹아요~ 완전 반전!! ㅋㅋㅋ 된장찌개도 진짜 맛있고 파절이에 김치들까지 같이 싸서 먹으면 말이 필요없죠! 연기도 잘 빠지게 해놔서 불편함 없이 고기 즐길 수 있어요! 굿~,"Special parts are very delicious! The meat looks thick and tough, but it melts really soft and softly A total twist!! Doenjang jjigae is really good and there's no need for words if you wrap it with seasoned scallions and kimchi! The smoke escapes easily, so you can enjoy the meat without any inconvenience! Good"
1,taste,두번째 방문이예요 여전히 부드럽고 맛있는고기 만족입니다 :) 치즈듬뿍올린 볶음밥도 잘 먹었습니다!,This is my second visit I'm still satisfied with the soft and delicious meat :) I also enjoyed the fried rice with a lot of cheese!
2,taste,"고기 찌개 밥 다 맛있었던 성수 맛집 몽련 !! 
가게도 깔끔하고 넓어서 회식이나 모임하기 좋아요 ??","Mongryeon, a restaurant in Seongsu that had delicious meat stew and rice! The restaurant is clean and spacious, so it's good for company dinners and gatherings ??"
3,taste,도끼살 진짜 맛있어요!!! 통벌집맥주 달달하니 계속 들어가요ㅜㅠ 특별한날 가기도 좋고 회식하기도 좋을것 같아요ㅣㅣ,"The ax meat is really good!!! It's so sweet that it keeps going inI think it would be good to go on a special day or have a company dinnerI, I"
4,taste,정갈한 반찬과 깨끗한 매장… 고기맛도 좋아요~~!,"Neat side dishes and clean stores... I like the taste of meat, too!"
5,taste,고기 맛이 좋고 서비스로 주신 된장찌개도 맛있었어요,The meat tasted good and the doenjang-jjigae was good
6,taste,"고기맛보고 감탄 숯불향 제대로
밑반찬도 깔끔하고 고급짐!",Taste the meat and admire the charcoal smell. The side dishes are clean and luxurious!
7,taste,예약하고 갔는데 양도 많이 주시고 너무 맛있었어요. 고기 질이 좋은게 느껴져요! 너무 맛있었습니다 ㅎㅎ 팀 회식으로 다에 또 갈것 같아요!,I made a reservation and it was so delicious because they gave me a lot of food. I can feel the quality of the meat! It was so good I think I'll go to Da again for a team dinner!
8,taste,"결과부터 말하자만 너무 기대가 컸던 탓인지 다시는 가고 싶지 않을 정도로 불쾌했다. 유선 상으로 문의할 때부터 아주머니의 쌀쌀 맞은 태도는 불쾌하기엔 충분했는데 도착 후 테이블 응대는 바쁘다는 말을 흘리며 한참 동안이나 주문을 받아주지 않았다. 하지만 음식이 맛있다면 모든게 상쇄될거라 생각했는데 그 역시 착각이었다. 음식 맛은 그저 그랬고, 서버의 응대도 그닥.. 이렇게 바쁘다면 최소한 손님을 제한하며 받든가 서버를 더 고용해야 하지 않을까.. 이런 리뷰를 남겨도 갈 사람은 갈테지만 누군가 이 곳을 방문하려 할 때 한 번 쯤이나마 고민해봤으면 하는 마음에 리뷰를 남긴다.","Let me tell you the results first, but I was so unpleasant that I didn't want to go again, maybe because I had high expectations. From the time I inquired on the wire, the lady's chilly attitude was enough to be unpleasant, but after arriving, she did not accept the order for a long time, saying that she was busy responding to the table. But I thought everything would be offset if the food was delicious, but he was also mistaken. The taste of the food was okay, and the response of the server was not good.. If you're this busy, shouldn't you at least limit the number of customers or hire more servers.. Even if you leave a review like this, you will go, but I leave a review in the hope that you will think about it at least once when someone tries to visit this place."
9,taste,"알바 하시는분 저에게 다가와 웃으면서 2틀밖에 안되었으니 잘모르겠다고 하셨고 마치 난 모르니 너가 알아서 해라 느낌이었구요 그건 다 이해할수 있었습니다 음식점은 특히 고깃집은 고기가 생명인대 가격에 비해 많이 아쉬웠습니다
육회는 35000인대 정말 소비자에게 팔지 않으셔야 할것 같구요 그래도 냉면은 물냉 비냉 맛있게 먹었습니다 ","The part-timer came up to me and smiled and said, ""I don't know because it's only been two days, so I don't know, so I felt like you should do it on your own."" I could understand that Restaurants, especially meat restaurants, were very disappointing compared to the price of meat. Beef tartare costs 35,000 won. I don't think you should sell it to consumers But I still enjoyed the cold noodles with water and spicy noodles"
10,taste,"예약하고 갔는데 준비도 잘 해주셔서 좋았어용
고기 맛은 물론 기본 찬들도 너무 만족스럽고 맛있었어요 사진에는 없지만 냉면이 찐맛이에요ㅠㅠㅜ","I made a reservation and it was good because they prepared it well. The basic dishes as well as the taste of the meat were very satisfying and delicious It's not in the picture, but the naengmyeon is really goodㅜㅠㅠ"
11,taste,제주 돼지고기 세트 시켰는데 그냥 그랬어요... 비계도 많았고... 딱히 맛집인지 잘 모르겠어요. 차돌 된장찌개는 얼큰하니 맛있네요,"I ordered Jeju pork set, but it was just whatever... There were a lot of fat... I'm not sure if it's a good restaurant. Beef brisket doenjang-jjigae is spicy and delicious"
12,taste,"고기맛도 좋았고 분위기도 좋았어요?
옆자리가 시끄러웠던거 빼곤 만족?",The meat tasted good and the atmosphere was good ?. I'm satisfied except that the seat next to me was noisy ?
13,taste,도끼살은 한정이라 걱정했지만 맛있게 잘 먹었습니다. 막걸리도 볶음밥도 너무 좋았네요. ,"I was worried because the ax meat was limited, but I ate it deliciously. Makgeolli and fried rice were so good."
14,taste,친절하시고 고기도 맛있어요,He's kind and the meat is good too
15,taste,저녁 9인 예약하고 8인이 방문했습니다. 3/3/3 자리 셋팅으로 한명이 오지않아 한 자리를 안 쓰겠다고 했습니다. 주인인지 여직원분이 룸예약은 45만원치를 먹거나 미달시 5만원 차지라고 퉁명스러운 대답. 알겠다고 했습니다. 일행이 그릇을 문의 하니 저기 셋팅 되어있다고 퉁명스러운 대답에 죄송하다고 했습니다. 근데 네이버에는 30만원치 식사 미만시 3만원 차지.. 뭐가 불만이셔서 가격을 더 높게 부르시고 그렇게 퉁명스럽게 대하셨을까요? 식사는 40만원 넘게 먹고 왔습니다. 고기 맛있고 유명한 집은 손님을 이렇게 대우해도 되나봅니다. 고기도 맛있고 친절해서 가끔 방문했는데 더 이상 그렇지 않은 것 같네요. 다음 방문은 이제 모르겠습니다. ,"I made a reservation for 9 people in the evening and 8 people visited. I said I wouldn't use one seat because one person didn't come due to the 3/3/3 digit setting. A female employee who is the owner of the room said, ""If you eat 450,000 won worth of room reservations or fail to make it, you will get 50,000 won."" I said yes. When the group inquired about the bowl, they said they were sorry for the blunt answer that it was set over there. But on Naver, if you eat less than 300,000 won, you charge 30,000 won.. What's so frustrating that you're asking for a higher price and being so blunt  I ate more than 400,000 won. I guess this is how a famous restaurant with delicious meat treats customers. The meat was delicious and kind, so I visited it sometimes, but it doesn't seem like it anymore. I don't know about the next visit."
