id,category,text,trans_text
1010,price,"알바 하시는분 저에게 다가와 웃으면서 2틀밖에 안되었으니 잘모르겠다고 하셨고 마치 난 모르니 너가 알아서 해라 느낌이었구요 그건 다 이해할수 있었습니다 음식점은 특히 고깃집은 고기가 생명인대 가격에 비해 많이 아쉬웠습니다
육회는 35000인대 정말 소비자에게 팔지 않으셔야 할것 같구요 그래도 냉면은 물냉 비냉 맛있게 먹었습니다 ","The part-timer came up to me and smiled and said, ""I don't know because it's only been two days, so I don't know, so I felt like you should do it on your own."" I could understand that Restaurants, especially meat restaurants, were very disappointing compared to the price of meat. Beef tartare costs 35,000 won. I don't think you should sell it to consumers But I still enjoyed the cold noodles with water and spicy noodles"
1011,price,"룸에서 먹었구 도끼살, 육회, 오겹살, 청어알 볶음밥, 물냉면 벌집꿀 막걸리랑 맥주 맛있었어요~!!
반면, 비빔냉면은 너무 달고... 소등심은 가격대비 그냥 그랬어요...
★ 콜키지 2만원 & 특정 금액 미달 시 룸차지 있어요!","I ate it in the room, and the axe meat, beef tartare, pork belly, herring roe fried rice, mul naengmyeon honey makgeolli, and beer were delicious. On the other hand, bibim naengmyeon is too sweet... The sirloin was just for the price... ★ Corkage 20,000 won & If you don't get a certain amount, you can charge a room!"
1012,price,가격이 오른다신 찬이 추가 됐어요 맛,Shin Chan added that the price will go up Taste
1013,price,항상 맛있는 돼지고기. 돈마호크랑 뒷덜미살 강추입니다. 다만 일하는 분들의 서비스가 너무 퉁명스럽고 짜증이 납니다,Always delicious pork. I strongly recommend Don Mahawk and backside. But the service of the workers is so curt and annoying
1014,price,"가격은 착하지 않습니다.
다만 고기질이 우수 합니다.
여기 시그니처 메뉴들은 특별하고 맛도 좋고요~
추천 드립니다.","The price is not good.. However, the meat quality is excellent.. The signature menus here are special and delicious. I recommend it."
1015,price,가격대가 좀 있지만 맛있고 친절해요,"It's a bit pricey, but it's delicious and kind"
1016,price,맛은 괜찮은데 가격대비 고기 양이 너무 적고 메뉴판이 기름으로 코팅되어있네요ㅜ,"It tastes good, but the amount of meat is too small for the price and the menu is coated with oilㅜ"
1017,price,음식은 맛있어요 가격대가 있는데도 구워주시거나 하진않으시고 친절한 편은 아닌것같아요..,The food is delicious I don't think he's kind because he doesn't grill it even though it's expensive..
1018,price,웨이팅도 있고 네이버 평도 좋아서 기대를 하고 갔는데 고기질이 굉장히 별로였습니다.. 너무 질겨요. 돈이 아까웠습니다.,"I was looking forward to it because of the waiting and Naver reviews, but the meat quality was really bad.. It's too tough. It was a waste of money."
1019,price,"도끼살이 맛있어요!  구워주시면 더 좋을 것 같긴해요.. 모두가 고기 잘 굽는 건 아니고, 사람들과 대화하다 보면 잘 굽기가 어렵워서 고기가 아까워요 ㅋㅋ  ","The ax meat is good!  I think it'll be better if you grill it.. Not everyone is good at grilling meat, but it's hard to grill it well when talking to people, so it's a waste lol"
