id,category,text,polarity
0,taste,요즘 평양냉면 제대로 하는집이 많지 않은데 여긴 찐입니다???? 자극적이지 않은데 깊은맛이나요 양은 또 어찌나 많은지 배부른데 끝까지 먹고나왔습니다?? 밑반찬들도 다 직접 담그시는 것 같았어요!! 매장이 넓고 깨끗해서 단체모임하기에도 좋을것같아요!! 평가옥처럼 화장실도 넓고 깨끗한 음식점 처음봤어욬ㅋㅋ 위생도 맛도 최고입니다???,1
2,taste,"평양냉면 맛도 잘 모르고 갔다가 맛보고 헉~했어요 너무 밍밍했거든요
건강한 맛인거 같은데 제 입맛에는 별로였어요 녹두전도 가격에 비해 너무 작고 얇았네요",1
3,taste,"평양냉면이 정말 맛있어요…????평양냉면, 온반 하나씩 시켜서 먹었는데 온반은 삼삼하고 뜨끈해서 속이 너-무 편했어요????두개의 조합이 어울리려나? 했는데 각각 너무 맛있어서 진짜 잘 먹고 왔답니다?? 직원분들도 너무 친절한 평가옥 추천해요~~!!",1
4,taste,"맛있어요~
근데 오랜만에 갔더니 녹두전 사이즈가 줄어서 놀랐어요 ㅠㅠ",1
5,taste,"맛있게 먹었습니다
부담없는 맛과 국물이에요 ",1
6,taste,"유튜브에서 평양냉면보고 갑자기 너무 땡겨서 먹고 왔어요! 

친구 올 때까지 기다렸다가 주문했는데 시간에 맞춰서 나올 수 있게 처리해주셔서 좋았습니다.

그리고 녹두전도 만두도 낱개로 팔아서 친구랑 적당히 시켜서 전부 다 먹고 왔어요ㅎㅎㅎㅎ

직원분들도 친절하고 음식도 맛있었는데 아쉬운 거는 테이블간 거리가 너무 가깝고 술 취한 아저씨들이 시끄러워서 귀가 아팠어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 그래도 직원분께서 조금 자제시켜주시더라구요~~ 고생 많으십니다~~

재방문의사 있고, 평양냉면 생각나면 또 올거같아요! ",1
7,taste,"평양냉면이 맛있어지기 시작했는데
한그릇에 15000?은 놀라운 가격이네요
음식과 반찬들이 깔끔합니다",1
8,taste,가격은 좀 나가지만 식당 내부 깔끔하고 친절하고 무엇보다 맛있어요,1
9,taste,국물이 맛있어서 정신없이 먹다가 사진 찍었네요. 너무 맛있어요~~ ,1
10,taste,"평양냉면이랑 온반 먹었는데요 맛 괜찮았어요. 
온반도 뜨끈하게 괜찮고 건더기가 알차고 국물도 좋았어요. 평냉에는 닭고기 소고기 두조각이랑 돼지고기 편육 한조각이 있고 육수도 더 주세요. ",1
11,taste,온반 맛있어요.,1
