id,category,text,polarity
184,price,가격은 좀 나가지만 식당 내부 깔끔하고 친절하고 무엇보다 맛있어요,0
185,price,"가격이 많이 올랐네요~
냉면은 그냥그래요",0
186,price,"확실히 평양냉면치고는 간이 세다
이집에서 최애메뉴는 만두다
좋아하는 만두집중 하나
평양냉면이야 가성이 떨어지기로 유명하지만 만두나 어복쟁반도 비싸다 
맛까지 별로면 망했겠지 
맛은 있다 주차는 불편하다
오늘은 물컵에서 벌레가 나왔는데 바꿔달라고 한 컵에서는 또다른 이물질이 ㅡ.ㅡ
이런적은 처음이네
",0
187,price,술 이빠이 먹고 다음날 에어콘바람에 평냉조지다가 나이좀들어서 뜨뜻한국물로 속 가라앉히고 싶을땐 온반을 드십쇼. 가격만 조금 착해지면좋을 것 같은데..ㅠㅠ 사진평냉은 곱배기입니다,0
188,price,어른들이 좋아해요~ 어복쟁반 국물이 살짝 매콤하지만 담백하니 건강한 느낌 ㅎㅎ 옛날보다 가격이 많이 오르긴 했어요 그래도 가끔 먹으면 맛있습니다,0
189,price,"엄마 모시고 오랫만에 방문했은데 별루네요.
일단 가격이 너무 비싸요. 물가 올랐다하지만 이렇게 비쌀 이유 없어보이는데...
맛도 온전한 평양냉면맛 아니구 국물이 짜서 엄마도 나도 물 부어 먹었어요. 녹두전은 너무 작아서 하나 더시켰구요...  친절한 서비스 절대 없어요.
재방문 안할거 같아요.",0
191,price,불친절은 여전하고 맛은 없어지고 가격은 오른다. ,0
192,price,"평양냉면 좋아하고 맛집 찾아다니는 편입니다. 첫인상 불친절! 뭐 맛집은 불친절한가보다 하고 이해하려던 찰나 음식 나옴 물냉+편육 주문 
여기서 반전! 불친절한데 맛도 없는 거였음!! 맛이 없는 정도가 아닌 수준이하!! 육수 매우 짬! 깊은 맛 전무!  비린 내까지! 그릇마다 아줌마 엄지가 육수에 쑥 미끄러진 흔적! 가격만 우레옥이나 필동면옥보다 비쌈!! 진심 손절 각!!! 손님이 많은 게 하도 아상해서 나름 분석해보니 주변 길에 주차할 곳이 많음. 22년 상반기까지 최악의 음식점 매우 유력!!!",0
193,price,어버이날 맞아 갔는데 가격대비 친절함과 위생이 별로였습니다. 대기 순서를 지켜주지 않아 40분넘게 기다리고 음식도 바쁘니 알아서 익혀먹으라고 하시고 냉면은 무맛.. 만두도 그닥..불고기는 맛있었어요. 그렇지만 직원 불친절함은...굳이 두번은 안갈 것 같습니다. ,0
194,price,"주차하기 너무 불편하고 직원은 불친절함.
식기에서 비릿한 냄새가 나 식사를 하다 말았음. 돈주고 사먹기 아까움",0
195,price,"온반이 맛있어요.
만두, 어복쟁반도 인기 메뉴로 맛있는데
평가옥은 가격이 너무 비싸요..

그리고, 지점에 따라 매니저나 직원이 불친절한
분들이 있어서 때로는 기분이 많이 상합니다.",0
196,price,가격대비 쏘쏘,1
197,price,"수육이랑 물냉 비냉 먹었어요.
얇은 수육이 육수에 잠겨서 나오는데 색다르고 맛있었어요.

물냉은 다시는 안먹을 거 같아요. 비려요.
비냉은 먹을만해요.

서비스도 별로고 가격도 비싸서 인기많은 게 신기했어요.",0
198,price,맛있지만 가격은 비싼편,0
199,price,"불고기 물냉면 녹두전  반찬 은 맛있어요 그러나 좌석간의
간격과 태이블이 너무  좁고 작아요 
가격이 있는 집 에 비해 불편하게 먹었어요
편하게 먹을 분위기는 아닌듯요",
200,price,"어복쟁반 포장해서 먹었는데, 괜찮았어요~~
부모님도 맛나게 드셨구요!
가격이 좀 비싼편이지만 테이크아웃해서
집에서 먹기 참 좋네요 :)",0
201,price,비싼 느낌,0
202,price,"저희 2명이서 60000원 계산하고 나왔는데 이런 천덕꾸러기 대접이라니. 주문을 칸막이 넘어서 받는 집은 처음이에요. 세상에 어떻게 이런 집이 아직도 장사를 하나요.
정말 황당해요. 반찬 더 달랐더니 눈치는 다 주고 한번 더 달라했다고  했다가는 뒤통수 맞겠더라구요. 근데 재난지원금 카드 내밀었더니 30억 매출이라고 자랑스레 안된다하네요. 이런 가게가 잘되고 30억 매출이라니 정신좀 차려야겠어요. 이런집에서 밥먹는건.

지금 돈아까워 죽겠어요. 돈을 빼안긴 느낌이랄까.",0
203,price,"가격대비 음식은 괜찮은 편이지만 직원 서비스는 최악입니다. 주문했는데 무표정에 답도 없이 가고,  또다른 분한테는 밑반찬을 요청하는데 말이 끝나기도전에 도중 가버리더군요. 반찬도 말 없이툭 가져다 놓고요. 내 돈내고 식사하면서 이렇게 무안하고 기분 더럽기는 처음이네요.  분당 평가옥 주차 봐주시는 분 빼곤 직원 서비스 꽝입니다. ",1
204,price,맛나게 잘 먹었어요! 가격대가 좀 있는 편이라 자주오긴 어려울 것 같습니다 ㅎㅎ,0
205,price,"#파전(녹두지지미)
#쇠고기육개장
너무맛있어요
#가격도저렴
",1
206,price,이북의 맛. 가격이 조금 비싸지만 그만큼 양이 많습니다. 만두는 속이 꽉 차 있어 충분히 배부릅니다.,0
