id,category,text,polarity
160,service,"평양냉면이 정말 맛있어요. 평양냉면, 온반 하나씩 시켜서 먹었는데 온반은 삼삼하고 뜨끈해서 속이 너-무 편했어요. 두개의 조합이 어울리려나? 했는데 각각 너무 맛있어서 진짜 잘 먹고 왔답니다.  직원분들도 너무 친절한 평가옥 추천해요~~!!",1
161,service,"유튜브에서 평양냉면보고 갑자기 너무 땡겨서 먹고 왔어요! 

친구 올 때까지 기다렸다가 주문했는데 시간에 맞춰서 나올 수 있게 처리해주셔서 좋았습니다.

그리고 녹두전도 만두도 낱개로 팔아서 친구랑 적당히 시켜서 전부 다 먹고 왔어요ㅎㅎㅎㅎ

직원분들도 친절하고 음식도 맛있었는데 아쉬운 거는 테이블간 거리가 너무 가깝고 술 취한 아저씨들이 시끄러워서 귀가 아팠어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 그래도 직원분께서 조금 자제시켜주시더라구요~~ 고생 많으십니다~~

재방문의사 있고, 평양냉면 생각나면 또 올거같아요! ",1
162,service,가격은 좀 나가지만 식당 내부 깔끔하고 친절하고 무엇보다 맛있어요,1
163,service,평양냉면(물)과 만두한접시. 만두는 옛날 할머니가해주시던맛. 두부소으깨서 고기와들어가고 쫄깃한 만두피. 간장도 간간하니 맛남. 냉면은 의례생각하는 그 아무맛안나는 국물아님. 확실히 간이 쎄다. 평냉초보자들이 접근하면 맛있는맛. 평양냉면은 먹기전날 술 이빠이먹고 속 니글니글한상태에서 아침에 에어컨틀어놓은 매장에서 국물 드링킹한후 동치미 김치같은거에 싸먹으면 다 맛있음. 한여름에 이렇게 3번만먹으면 매니아됨. 고로 평가옥도 맛있음. (레알평냉매니아한테는 별로임)그리고 친절하던데요?,1
164,service,깨끗하고 건강한맛. 주차가 불편함. 친절하지는 않음,0
165,service,"엄마 모시고 오랫만에 방문했은데 별루네요.
일단 가격이 너무 비싸요. 물가 올랐다하지만 이렇게 비쌀 이유 없어보이는데...
맛도 온전한 평양냉면맛 아니구 국물이 짜서 엄마도 나도 물 부어 먹었어요. 녹두전은 너무 작아서 하나 더시켰구요...  친절한 서비스 절대 없어요.
재방문 안할거 같아요.",0
166,service,미리 전화해두고 포장 픽업해갔어요. 시간 맞춰서 바로 준비해주셨고 친절하게 응대해주셔서 감사합니다. 만두 비싸지만 맛있어요!,1
167,service,"평양냉면 좋아하고 맛집 찾아다니는 편입니다. 첫인상 불친절! 뭐 맛집은 불친절한가보다 하고 이해하려던 찰나 음식 나옴 물냉+편육 주문 
여기서 반전! 불친절한데 맛도 없는 거였음!! 맛이 없는 정도가 아닌 수준이하!! 육수 매우 짬! 깊은 맛 전무!  비린 내까지! 그릇마다 아줌마 엄지가 육수에 쑥 미끄러진 흔적! 가격만 우레옥이나 필동면옥보다 비쌈!! 진심 손절 각!!! 손님이 많은 게 하도 아상해서 나름 분석해보니 주변 길에 주차할 곳이 많음. 22년 상반기까지 최악의 음식점 매우 유력!!!",0
168,service,어버이날 맞아 갔는데 가격대비 친절함과 위생이 별로였습니다. 대기 순서를 지켜주지 않아 40분넘게 기다리고 음식도 바쁘니 알아서 익혀먹으라고 하시고 냉면은 무맛.. 만두도 그닥..불고기는 맛있었어요. 그렇지만 직원 불친절함은...굳이 두번은 안갈 것 같습니다. ,0
169,service,"주차하기 너무 불편하고 직원은 불친절함.
식기에서 비릿한 냄새가 나 식사를 하다 말았음. 돈주고 사먹기 아까움",0
