,id,category,text,polarity,trans_text
0,160,service,"평양냉면이 정말 맛있어요. 평양냉면, 온반 하나씩 시켜서 먹었는데 온반은 삼삼하고 뜨끈해서 속이 너-무 편했어요. 두개의 조합이 어울리려나? 했는데 각각 너무 맛있어서 진짜 잘 먹고 왔답니다.  직원분들도 너무 친절한 평가옥 추천해요~~!!",1,"Pyeongyang naengmyeon is really good. I ordered Pyeongyang naengmyeon and an onban, but the onban was samgyupsal and hot, so I felt so comfortable. Will the two be a good combination? I tried it, but each one was so good that I ate it well.  The staff are so kind, so I recommend it!!"
1,161,service,"유튜브에서 평양냉면보고 갑자기 너무 땡겨서 먹고 왔어요! 

친구 올 때까지 기다렸다가 주문했는데 시간에 맞춰서 나올 수 있게 처리해주셔서 좋았습니다.

그리고 녹두전도 만두도 낱개로 팔아서 친구랑 적당히 시켜서 전부 다 먹고 왔어요ㅎㅎㅎㅎ

직원분들도 친절하고 음식도 맛있었는데 아쉬운 거는 테이블간 거리가 너무 가깝고 술 취한 아저씨들이 시끄러워서 귀가 아팠어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 그래도 직원분께서 조금 자제시켜주시더라구요~~ 고생 많으십니다~~

재방문의사 있고, 평양냉면 생각나면 또 올거같아요! ",1,"I watched Pyeongyang naengmyeon on YouTube and I suddenly craved it, so I ate it! I waited until my friend came and ordered it, but it was good that it was processed so that it could come out on time.. . And I sold mung bean pancake and dumplings individually, so I ordered just enough and ate them allThe staff were kind and the food was delicious, but the sad thing was that the distance between the tables was too close and the drunk men were noisy, so my ears hurt(Crying) (Crying) But the staff restrained me a little bit. Thank you for your hard work~~. I'm willing to revisit, and I think I'll come again when I think of Pyeongyang naengmyeon!"
2,162,service,가격은 좀 나가지만 식당 내부 깔끔하고 친절하고 무엇보다 맛있어요,1,"It's a little expensive, but the inside of the restaurant is clean and friendly, and above all, it's delicious"
3,163,service,평양냉면(물)과 만두한접시. 만두는 옛날 할머니가해주시던맛. 두부소으깨서 고기와들어가고 쫄깃한 만두피. 간장도 간간하니 맛남. 냉면은 의례생각하는 그 아무맛안나는 국물아님. 확실히 간이 쎄다. 평냉초보자들이 접근하면 맛있는맛. 평양냉면은 먹기전날 술 이빠이먹고 속 니글니글한상태에서 아침에 에어컨틀어놓은 매장에서 국물 드링킹한후 동치미 김치같은거에 싸먹으면 다 맛있음. 한여름에 이렇게 3번만먹으면 매니아됨. 고로 평가옥도 맛있음. (레알평냉매니아한테는 별로임)그리고 친절하던데요?,1,"Pyeongyang naengmyeon (water) and a plate of dumplings. Dumplings taste like old grandma used to make. Crushed tofu, meat and chewy dumpling skin. The soy sauce is also delicious because it's delicious. Naengmyeon is not the soup that tastes bad. It's definitely a strong. Delicious taste when approached by beginners. Pyeongyang naengmyeon is delicious if you drink the soup in the morning at a store with the air conditioner on and wrap it with dongchimi kimchi while drinking alcohol the day before eating. If you eat it three times in the middle of summer, you become a maniac. Therefore, the evaluation jade is good. (Not good for a real flat mania) And it was kind?"
4,164,service,깨끗하고 건강한맛. 주차가 불편함. 친절하지는 않음,0,a clean and healthy taste. Parking is inconvenient. Not kind enough
5,165,service,"엄마 모시고 오랫만에 방문했은데 별루네요.
일단 가격이 너무 비싸요. 물가 올랐다하지만 이렇게 비쌀 이유 없어보이는데...
맛도 온전한 평양냉면맛 아니구 국물이 짜서 엄마도 나도 물 부어 먹었어요. 녹두전은 너무 작아서 하나 더시켰구요...  친절한 서비스 절대 없어요.
재방문 안할거 같아요.",0,"It's been a long time since I visited with my mom, but I don't like it.. First of all, the price is too high. Prices have risen, but there seems to be no reason for it to be so expensive... The taste is not completely Pyongyang naengmyeon, but the soup is salty, so my mom and I poured water and drank it. The mung bean pancake was too small, so I ordered one more...  There is no kind service.. I don't think I'll revisit."
6,166,service,미리 전화해두고 포장 픽업해갔어요. 시간 맞춰서 바로 준비해주셨고 친절하게 응대해주셔서 감사합니다. 만두 비싸지만 맛있어요!,1,I called in advance and picked up the package. Thank you for preparing it on time and responding kindly. Dumplings are expensive but delicious!
7,167,service,"평양냉면 좋아하고 맛집 찾아다니는 편입니다. 첫인상 불친절! 뭐 맛집은 불친절한가보다 하고 이해하려던 찰나 음식 나옴 물냉+편육 주문 
여기서 반전! 불친절한데 맛도 없는 거였음!! 맛이 없는 정도가 아닌 수준이하!! 육수 매우 짬! 깊은 맛 전무!  비린 내까지! 그릇마다 아줌마 엄지가 육수에 쑥 미끄러진 흔적! 가격만 우레옥이나 필동면옥보다 비쌈!! 진심 손절 각!!! 손님이 많은 게 하도 아상해서 나름 분석해보니 주변 길에 주차할 곳이 많음. 22년 상반기까지 최악의 음식점 매우 유력!!!",0,"I like Pyeongyang naengmyeon and go around looking for good restaurants. Unkind first impression! As soon as I was about to understand, I thought restaurants must be unfriendly, but I ordered mulnaengmyeon + Pyeonyuk. A twist here! If it was unkind but not tasty!! It's not to the point where it's not bad, but below the level!! The broth is very seasoned! There's no deep taste!  Until the fishy smell! Every bowl has traces of a lady's thumb slipping into the broth! The price is more expensive than thunderbolt or Pildongmyeonok!! I'm seriously going to lose my hands!!! The fact that there are so many customers is so strange that I analyzed it and found that there are many places to park on the surrounding streets. The worst restaurant by the first half of 22 is very likely!!!"
8,168,service,어버이날 맞아 갔는데 가격대비 친절함과 위생이 별로였습니다. 대기 순서를 지켜주지 않아 40분넘게 기다리고 음식도 바쁘니 알아서 익혀먹으라고 하시고 냉면은 무맛.. 만두도 그닥..불고기는 맛있었어요. 그렇지만 직원 불친절함은...굳이 두번은 안갈 것 같습니다. ,0,"I went there for Parents' Day, and the kindness and hygiene were not good for the price. They don't keep the waiting order, so they wait for more than 40 minutes and the food is busy, so they tell me to cook it on my own, and the naengmyeon is tasteless.. Dumplings are not that..Bulgogi was delicious. But the employee's unkindness...I don't think I'll go twice."
9,169,service,"주차하기 너무 불편하고 직원은 불친절함.
식기에서 비릿한 냄새가 나 식사를 하다 말았음. 돈주고 사먹기 아까움",0,Parking is so inconvenient and the staff is unfriendly.. I stopped eating because the tableware smelled fishy. It's a waste of money to buy it
10,170,service,"특별한 메뉴가 평양식이 있긴 하지만 음식이 더럽고 불친절하고 맛은 뭐~ 흔한 맛 그리고 무지 비싸다
초심을 잃었다 슬프다",0,"There is a special menu in Pyongyang style, but the food is dirty, unfriendly, and the taste is well~ common taste and very expensive. I lost my original intention That's sad"
11,171,service,"맛없어요
가지마세요
만두 비빔 평냉 모두 맛 없습니다!
능라도로 가세요!
입맛 버렸음 ㅠㅠ 
그렇다고 친절하지도 않습니다",0,"It's not good. Don't go. Dumpling, bibim, and nengmyun are all bad! Go to Neungrado! I threw away my appetite. That doesn't mean he's kind"
12,172,service,"온반이 맛있어요.
만두, 어복쟁반도 인기 메뉴로 맛있는데
평가옥은 가격이 너무 비싸요..

그리고, 지점에 따라 매니저나 직원이 불친절한
분들이 있어서 때로는 기분이 많이 상합니다.",0,"Onban is delicious.. Dumplings and fish-shaped trays are also delicious as a popular menu. Evaluation jade is too expensive... and, depending on the branch, manager or employee is unfriendly. I'm sometimes very upset because there are people around me."
