id,category,text,trans_text
953,price,"로제파스타랑 찹스테이크 모두 가격대비 양이 많고 간이 쎄지 않아서 맛있었습니다 !
찹스테이크는 먹어본 곳 중 제일 맛있다고 느낄 정도로 간이나 식감이 적당해서 추천합니다 :)
그리고 식전빵으로 나온 빵은 버터향이 가득해서 좋았어요! 다음에도 방문 의사 있습니다 ??","Both ros? pasta and chop steak were delicious because they were not salty enough for the price! I recommend chop steak because it has just enough liver and texture to make me feel the most delicious place I've ever eaten :). And the bread that came out as a pre-ceremony was full of butter, so I liked it! I'll visit again next time ??"
954,price,"아 진짜? 버릴 것 없이 넘넘 맛있어요ㅠㅠ 스테이크 굽기도 딱 알맞고 하나도 안질기고 파스타 소스 머선일이에요,, 적당히 꾸덕하고 안느끼해서 자꾸자꾸 손이 가는 맛..!! 식전빵에 크림소스 찍어서 먹으면 을매나 맛있게요~ 가성비좋은 할인 이벤트까지,,? 잘 먹고갑니다?","Ah really ? It's so delicious without throwing it away???????? The steak is just right and not tough at all, and the pasta sauce is the best. It's moderately thick and not greasy, so I keep wanting to eat it. If you dip the bread in cream sauce, it'll be so delicious Even a cost-effective discount event...? Thank you for the meal?"
955,price,스테이크랑 봉골레파스타 먹었는데 가격대비 맛도 맛있고 양도 많아서 좋아요,"I had steak and vongole pasta, and it's good because it's good for the price and it's a lot"
956,price,양도 많고 맛있는데 가격도 착해서 너무 만족스러웠습니다 특별한 날 오기 좋은 것 같아요,"It was a lot and delicious, but the price was nice, so I was very satisfied I think it's good to come on a special day"
957,price,"음식이 맛있고 분위기는 고급직 느낌에 비싼 레스토랑 온 느낌이네요.
남친 생일이라서 왔는데 너무 잘온거같아서 너무 좋아요.
가성비도 꽤 괜찮아요!!
","The food is delicious and the atmosphere is like a luxury job and it feels like I'm at an expensive restaurant.. I came here because it was my boyfriend's birthday, but I'm so happy that I came here.. The cost-effectiveness is pretty good, too!"
958,price,친절하시고 매장도 깔끔해요. 천장이 높아서 좋았어요 :) 파스타도 샐러드도 맛있고 가격도 착한 편이에요! ,They are kind and the store is clean. I liked the high ceiling :) Pasta and salad are delicious and the price is good!
959,price,"로제파스타, 토마토 리조또, 부채살 스테이크 300g 먹었습니다!
스테이크 질기지 않고 칼 서걱서걱 잘 나가고 맛있어요!
해물 로제파스타랑 해물 토마토 리조또는 다른 레스토랑보다 해물이 더 많이 들어있어요! 특히 새우가 많이 있어서 좋아요!! 해물들도 신선합니다! 이런 퀄리티에 가격도 저렴하고 주차도 매장 이용하면 서울숲M타워 1시간 무료라 정말 마음에 들었습니다. 잘 먹고 가요?","I had 300g of rose pasta, tomato risotto, and fan meat steak! Steak is not tough, it's crunchy and delicious! It has more seafood than seafood ros? pasta, seafood tomato risotto, or other restaurants! Especially, I like it because there are a lot of shrimps!! Seafood is fresh, too! I really liked it because the price was cheap with this quality and parking was free for an hour at the Seoul Forest M Tower. Enjoy your meal ?"
960,price,"가격대비 좋고 맛있고 너무 만족스러웠어요?
식당 내 분위기도 너무 좋고 깨끗해보여 좋았습니다 ~","It was good for the price, delicious, and I was very satisfied with it ?. The atmosphere inside the restaurant was so nice and clean ~"
961,price,특별한 맛은 아니었지만 가격대비 괜찮고 예뻤어요,"It wasn't a special taste, but it was good and pretty for the price"
962,price,매장이 매우 넓고 깔끔해서 데이트하기 좋습니다. 성수 근처는 다 비싼데 가격이 매우 합리적입니다. 잘 먹었습니다.,"The store is very spacious and clean, so it's good for a date. Everything near Seongsu is expensive, but the price is very reasonable. I really enjoyed the meal."
963,price,"스테이크 너무너무 맛있어요!! 
스테이크 순삭했습니다 부드럽고 너무 맛있었어요 스테이크때문에 재방문 하고 싶어요그리고 파스타도 만초 중반으로 구성되어 있는데 이 가격대비 훌륭합니다 ","The steak is so, so delicious!! . Steak is gone It was soft and delicious I want to revisit for steakAnd the pasta is in the middle of 10,000 seconds, and it's great for this price"
964,price,"대학친구들과  즐거운 시간 보내고 가요
가성비좋은 레스토랑 알게되서 즐겁네요...
맛있고...분위기 좋아요~
다음에도 또 올께요~",Have a good time with your college friends. It's nice to know a good cost-effective restaurant. It's delicious...The atmosphere is good. I'll come back again next time
965,price,"분위기도 좋고 음식도 정말 맛있어요^^
파스타 맛집인 이유를 알겠어요~
가성비도 짱짱!!  ",The atmosphere is good and the food is really good^^. I know why it's a pasta restaurant. The cost-effectiveness is also the best!!
966,price,"특별한 날, 친구와 방문해서 조용히 분위기있게 식사하기 좋았다. 음식은 맛있었고, 분위기도 차분했다.음료를 글라스와인으로 했는데 술을 못하는 두명이 즐기기 적당했다. 특히 연어샐러드가 아주 맛있었다. 가격대비 양도 적당했고, 배가 불렀다. 서울숲에 오는 사람들에게 추천하고싶다.","On a special day, it was good to visit with a friend and have a quiet and atmospheric meal. The food was delicious and the atmosphere was calm.The drink was glass wine, which was suitable for two people who couldn't drink. Especially, salmon salad was very delicious. The amount was reasonable for the price. I would like to recommend it to people who come to Seoul Forest."
967,price,"세트a 먹었는데 가격대비.아주 훌륭해요.
모듬샐러드는 메뉴에 있는 샐러드를 맛볼수있어서 좋았어요
 부채살스테이크는 고기 굽기도 적당하고 고기도 질기지않고 맛있었어요. 짱짱
가격대비 더더 맛있어요??
",I ate set a for the price.It's great.. It was good to taste the salad on the menu for assorted salad on the menu.  The steak was good enough to grill meat and the meat was not tough. It's the best. It's more delicious for the price??.
968,price,성수 나들이 중에 주차 가능하고 가성비 좋은 파스타집 발견!! 분위기도 좋아요 !,"Found a pasta restaurant that can be parked and cost-effective during a Seongsu outing!! The atmosphere is great, too!"
969,price,"너~~~~~~~~~~~~~무 맛나고 
가성비도 좋아요 ㅠㅠ대만족 그냥 왔다가 완전 가성비 대만족하며 갑니다 재방문의사 ??????",It's delicious. It's cost-effective ???????I'm so satisfied. I'm so satisfied with the cost-effectiveness Intention to revisit ??????
970,price,"아들과 우연히
검색해서 온곳!
가성비 굿!

세트구성으로 식전빵.샐러드.스테이크
모두 맛났어용^^",by accident with one's son. The place I searched and came! Great cost performance!... A set of pre-dinner bread.Salad. Steak. Everything tasted good. ^^
