id,category,text,trans_text
827,service,"재료 완전 신선하고 다 맛있어요:) 
스테이크도 맛있구 깔끔하구 직원분들도 친절하시구 음식도 빨리나옵니당~~~
로제 파스타 왕왕추천~~~~!!","The ingredients are all fresh and delicious:). Steak is delicious, clean, and the staff is kind, and the food comes out quickly. I highly recommend rose pasta!!"
828,service,"분위기가 좋아서 여자친구랑 오길 잘한것 같네용
여자친구랑 고기 300g이 둘이먹기 딱 좋았어요!
매장도 쾌적하고 친절해서 좋았어요 ???
비오는날 매콤한 파스타 너무 맛있었습니다~~!!","I'm glad I came with my girlfriend because the atmosphere was good. 300g of meat with my girlfriend was perfect for two people! The store was pleasant and friendly, so I liked it ???. Spicy pasta on a rainy day was so delicious!!"
829,service,예약해서 갔는데 메뉴도 빨리나오고 친절하시고 매장청결상태도 좋았습니다. 다음에 재방문해서 다른메뉴도 먹어보고 싶습니다!,"I made a reservation, and the menu came out quickly, and the store was clean. I'd like to revisit and try other menus next time!"
830,service,와이프 생일기념으로 방문했는데 친절하시고 맛도 좋습니다 아이들이 다 맛있는데 식전빵이 특히 맛있다고 써달라고 하네여~ 잘 먹었네여,I visited to celebrate my wife's birthday and she is kind and delicious The kids are asking me to write that the bread is especially delicious. Thank you for the food
831,service,남자친구 생일이라 좋은곳에서 밥먹고 싶었는데 잘 발견한거 같아요 ㅎㅎ 인테리어 깔끔하고 직원분들도 친절하시고 음식도 맛있었어요 모듬 샐러드로 각 종류 샐러드 다 맛 볼 수 있는게 좋더라구요,"I wanted to eat at a nice place because it was my boyfriend's birthday, but I think I found it well The interior was clean, the staff was kind, and the food was delicious I like it when I can taste all kinds of salads with a combination salad"
832,service,"샐러드 싱싱하고 깔끔해요.
해산물파스타 재료 싱심하구요.
조용하게 식사할수 있어서 좋아요.
친절하구요",Salad is fresh and clean.. Seafood pasta ingredients are fresh.. It's nice to be able to eat quietly.. It's kind
833,service,음식두 맛있구 직원분들도 친절하세요!! 그리고 분위기가 좋아서인지 커플들이 많이 있는 것 같더라구요ㅎㅎ 예약하고 오면 웨이팅 없이 바로 들어갈 수 있어서 편하구요! 행복한 저녁 보내고 갑니당~,"The food is delicious and the staff are kind too!! And maybe because the atmosphere is good, there are a lot of couplesLOL If you make a reservation, it's convenient because you can go in right away waiting! I'm going to have a happy evening"
834,service,"메뉴가 싱겁거나 짜지 않아서 좋아요
크림리조또도 많이 느끼하지않아서
먹기에 좋고 봉골레 파스타도 간이 쎄지 않고
봉골레도 많이 들어있어 맛있어용
샐러드는 역시..말해모해 넘 맛잇네용
채소 상태도너무 좋네용!
커플 가족 친구끼리 오기 좋을것같아욘
추천추천","I like the menu because it's not bland or salty. Cream risotto isn't that greasy either. It's good to eat and vongole pasta is not salty. There's a lot of vongole in it, so it's good. Salad is definitely..It's so delicious. The vegetables are in great condition, too! I think it would be good to come with a couple family and friends. Recommendation, recommendation"
835,service,"사장님도 친절하시고, 매장도 깨끗해요
음식 맛은 당연 짱!!","The boss is kind, and the store is clean. Of course, the food tastes the best!!"
836,service,"친절하게 응대해주시고 음식도 맛있었습니다
다음에 서울숲 또 가게된다면 재방문하고 싶네요","They responded kindly and the food was delicious. If I go to Seoul Forest again, I want to visit again"
