id,category,text,trans_text
0,taste,"갈치솥밥, 스테이크솥밥, 꼬막솥밥, 도미관자솥밥, 유린기, 새우튀김 먹었어요.
유린기와 새우튀김은 반찬으로 적절해요. 유린기는 추가로 주문하고 싶을만큼 맛있어요. 오픈런 했는데도 30분 기다려 먹었네요.
밥이 촉촉하고 맛있어서 한 그릇 뚝딱 하게 됩니다. :) 
고모가 신부전증을 앓고 계셔서 소금 빼달라고 했는데 재료 본연의 맛을 느낄 수 있는 건강한 맛이었어요. 손님 모시고 가기 좋은 식당 같아요. 외국인들이 많이 가더라고요. ","I ate hairtail pot rice, steak pot rice, cockle pot rice, sea bream pot rice, yuringi, and fried shrimp.. Yuringi and fried shrimp are suitable as side dishes. Yuringi is so delicious that I want to order extra. I waited for 30 minutes to eat even though I did open run.. The rice is moist and delicious, so you can finish a bowl quickly. :). My aunt suffered from renal failure, so I asked her to take out salt, and it was a healthy taste where I could feel the original taste of the ingredients. I think it's a good restaurant to take customers to. A lot of foreigners go there."
1,taste,"스테이크덮밥 맛있습니다. 
고기 추가 한 건데 
남자는 추가해야 양이 맞을 거 같아요. 
장어덮밥도 맛있긴한데 가격 생각하면  좀 아쉬웠습니다.
새우튀김과 유린기 무난하게 괜찮았습니다.
반찬 깔끔하고 분위기도 좋아 맛있게 잘 먹었습니다.
카프리 시켰는데 안시원해서... 이건 많이 아쉬웠습니다.","Steak over rice is good. I added meat. I think we need to add more men. Rice with grilled eel is good, but considering the price, it was a bit disappointing.. The fried shrimp and the oiler were all right.. The side dishes were clean and the atmosphere was good, so I enjoyed the meal.. I ordered a capri, but it wasn't refreshing... I was really sad about this."
2,taste,"일본어로 씌여 있어 한 바퀴 더 돌아 찾아냈습니다?
출입문 바로 옆 전번을 입력하고 대기합니다~
메뉴 주문까지 포함, 20분 정도 웨이팅 한 후 입장, 매우매우 친절하고 음식 맛도 나쁘지 않았습니다.

재방문의사 있어요?주차가능한 솔솥은 찾기 힘들어 더욱 좋으네요?가게 앞 바로 주차 가능-협소하지만요^^-","It was written in Japanese, so I went around one more time and found it ?. Enter the number right next to the door and wait. After waiting for about 20 minutes, including ordering the menu, the entrance was very friendly and the taste of the food was not bad.. . I'm willing to revisit? It's even better because it's hard to find a brush pot that can be parked. ? Parking is possible right in front of the store. - Although it's small^^-"
3,taste,"도미관자솥밥 16,000원 먹었어요!
성수다보니 가격이 저렴하진 않지만 다른 식당들 생각하면 깔끔하고 합리적이라서 방문했어요.
일단 스테이크보다 전 도미관자가 담백&고소해서 좋더라구요!
진짜 생선 좋아하시는 분들 엄청 맛있게 드실 거 같네요. 특별할 거 없어보이는데 진짜 고소+슴슴 맛나요ㅋㅋ신기해요.
김이랑 싸먹으면 극락...☆ 또 먹고싶네여
주말이라 11팀 웨이팅있었네요.. 
그래도 앞에 대기석있어서 수다 떠니 기다릴만 했어요.(테이블링 돼요)
가게 인테리어도 깔끔하고 좋았습니당
누룽지 해먹고 마지막으로 요구르트 서비스까지?
뭔가 옛날 짜장면집 생각나서 기분좋은 서비스였어욥!
추천드려요?","I ate sea bream pot rice for 16,000 won! It is not cheap because it is a holy water, but I visited it because it is neat and reasonable when I think of other restaurants.. First of all, I like the taste of sea bream more than steak because it's light and savory! I think people who really like fish will really enjoy it. It doesn't look special, but it tastes like a real savory + hedgehog. It's amazing.. If you eat it with seaweed, it's heaven...☆ I want to eat it again. There was a waiting for 11 teams because it was the weekend.. . But there was a waiting seat in front of me, so I was able to wait.(It's going to be a table.). The interior of the store was clean and nice. I made nurungji and finally yogurt service ?. It reminded me of an old jajangmyeon place, so it was a good service. I recommend it ?"
4,taste,솔솥 성수점 주말이라 웨이팅은 있었지만 솥밥 너무 맛있게 먹음. 맛이 자극적이지 않아 재료 본연의 맛이 잘 느껴져 좋았음. 전복 양도 많고 도미도 큼직하게 들어있었음 새우튀김은 맥주와 딱임. 배부르게 잘 먹음 맛있,"It was the weekend of the Sol-Sot Seongsu store, so there was a wait, but I ate the pot rice so deliciously. It was good because the original taste of the ingredients was not stimulating. If there was a lot of abalone and a large amount of sea bream, fried shrimp is perfect for beer. Eat well when you're full. Delicious"
5,taste,"솔솥 성수점은 처음 가봤는데 외관부터 일식당에 온 듯한 분위기와 깔끔한 내부 그리고 다양한 솥밥 메뉴가 있어 좋았어요. 저는 와규 스테이크 솥밥, 전복 솥밥 주문했는데 기본 반찬부터 김치, 씨앗 젓갈? 샐러드, 장국, 각종 소스가 자극적이지 않은 맛이어서 솥밥에 곁들어 먹기 좋았으며 솥밥 양도 푸짐하고 마지막에 누룽지까지 먹을 수 있었어요~! 스테이크도 두툼하게 들어 있는데 부드러운 식감과 담백한 맛이 일품이었어요. 전복도 큼지막하게 잘려서 들어 있는데 쫄깃하면서 탱탱한 식감이 좋았고 전체적으로 고슬고슬한 밥, 다진 쪽파, 버터, 스테이크나 전복을 비벼 먹으니 고소하면서 풍미있는 맛까지 느낄 수 있었어요. 간도 딱! 좋고 양도 푸짐하고 재료도 신선하고 마지막까지 푸짐하고 든든하게 먹었던 성수역 솥밥집이었어요","It was my first time going to the Seongsu branch of Solpot, and I liked the exterior, the atmosphere as if I was in a Japanese restaurant, the clean interior, and various pot rice menus. I ordered wagyu steak pot rice and abalone pot rice, but the basic side dishes, kimchi, salted seafood salad, long soup, and various sauces were not irritating, so it was good to eat with the pot rice, and the amount of pot rice was plentiful and I could eat nurungji at the end! Steak is also thick, and the soft texture and light taste were excellent. Abalone was also cut into large pieces, and the chewy and firm texture was good. Overall, I mixed rice, chopped chives, butter, steak or abalone, so I could taste it savory and flavorful. It was a hot pot restaurant at Seongsu Station where the seasoning was perfect and the ingredients were fresh"
6,taste,예전부터 꼭 와봐야지 했는데 항상 웨이팅 있어서 포기하다 이번엔 브레이크타임 끝나자마자 와서 성공! 스테이크 솥밥이랑 도미솥밥 먹었는데 양도 많고 존맛!! 새우튀김도 바삭하고 왕 커서 배터졌음 마지막 후식 요구르트까지 ??,"I've always wanted to come, but I always give up because of the waiting This time, I came as soon as the break time was over and succeeded! I ate steak pot rice and sea bream pot rice, and the amount is big and delicious!! The fried shrimp is crispy and big, so my stomach explodes. And the last dessert, yogurt ??"
7,taste,"성수동 솥밥맛집 솔솥 !!?
인터넷검색후 첫방문을하였는데 고기의육즙과 신선한장어가 따뜻한 솥밥에있어 한숟갈한숟갈 떠먹는데  미쳤어요 ,, 여기이제 제 찐 단골집당첨이에요 ? 입구서부터 웨이팅하시는분들이많아 저만몰랏던 성수맛집이였나봐여 ?사이드로시킨 수제새우튀김은 바삭하면서 안에 새우살이 꽉꽉차있어 행복했답니다 ?성수동에서 분위기와 맛있는밥집찾으시면 솔솥 성수점강추드려요  !!담에 또 방문하겠습니다 ??","Seongsu-dong hot pot rice restaurant, Sol-pot!! ?. I visited for the first time after searching on the Internet, and I was crazy about eating a spoonful of meat and fresh eel in hot pot rice. This is my favorite restaurant. ? I guess it was a Seongsu restaurant that I didn't know about because there were many people waiting from the entrance. ? The homemade fried shrimp I ordered was crispy and full of shrimp flesh inside ? If you find a delicious restaurant with the atmosphere in Seongsu-dong, I strongly recommend Seongsu branch in Solpot!!I'll visit again next time ??"
8,taste,"웨이팅 조금 있었지만 기다린시간이 아깝지 않을 만큼 넘 맛있었어요!! 가게는 조금 좁았지만 조용하고 아늑한 분위기라서 편하게 식사했네요 
음식도 깔끔하고 메뉴구성도 다양해서 골라먹는 재미가 있어요~ 마지막 누룽지로 마무리하니 든든하고 속이 편안하네요?","There was a bit of waiting, but the waiting time was so good that it wasn't a waste!! The store was a little small, but it was quiet and cozy, so I ate comfortably. The food is clean and the menu is various, so it's fun to choose and eat I feel so comfortable after finishing it with nurungji?"
9,taste,"맛있게 잘 먹었습니다~
예전에는 밥알들이 날라다니고 뻑뻑해서 실망하고 다긴 안갔는데, 직장동료들 덕분에 2년만에 갔다왔습니다.

밥 이번에는 참 잘 된 것 같아요, 촉촉하게~
맛있게 먹었습니다~ 
갠적으로는 역시 솥밥은 돌솥으로 한것이 쵝오 인것 같아요~

아, 반찬 더달라면 더주니깐 필요하면 애기하시면 되요 ㅎㅎ ","Thank you for the food. In the past, I was disappointed because the rice grains were flying and stiff, but thanks to my co-workers, I went there after 2 years.. . I think the food came out well this time. To make it moist. I enjoyed the meal. Personally, I think the best hot pot rice is made with a stone pot. Oh, if you want more side dishes, they will give you more, so you can tell me"
