id,category,text,trans_text
453,price,"스테이크덮밥 맛있습니다. 
고기 추가 한 건데 
남자는 추가해야 양이 맞을 거 같아요. 
장어덮밥도 맛있긴한데 가격 생각하면  좀 아쉬웠습니다.
새우튀김과 유린기 무난하게 괜찮았습니다.
반찬 깔끔하고 분위기도 좋아 맛있게 잘 먹었습니다.
카프리 시켰는데 안시원해서... 이건 많이 아쉬웠습니다.","Steak over rice is good. I added meat. I think we need to add more men. Rice with grilled eel is good, but considering the price, it was a bit disappointing.. The fried shrimp and the oiler were all right.. The side dishes were clean and the atmosphere was good, so I enjoyed the meal.. I ordered a capri, but it wasn't refreshing... I was really sad about this."
454,price,"도미관자솥밥 16,000원 먹었어요!
성수다보니 가격이 저렴하진 않지만 다른 식당들 생각하면 깔끔하고 합리적이라서 방문했어요.
일단 스테이크보다 전 도미관자가 담백&고소해서 좋더라구요!
진짜 생선 좋아하시는 분들 엄청 맛있게 드실 거 같네요. 특별할 거 없어보이는데 진짜 고소+슴슴 맛나요ㅋㅋ신기해요.
김이랑 싸먹으면 극락...☆ 또 먹고싶네여
주말이라 11팀 웨이팅있었네요.. 
그래도 앞에 대기석있어서 수다 떠니 기다릴만 했어요.(테이블링 돼요)
가게 인테리어도 깔끔하고 좋았습니당
누룽지 해먹고 마지막으로 요구르트 서비스까지?
뭔가 옛날 짜장면집 생각나서 기분좋은 서비스였어욥!
추천드려요?","I ate sea bream pot rice for 16,000 won! It is not cheap because it is a holy water, but I visited it because it is neat and reasonable when I think of other restaurants.. First of all, I like the taste of sea bream more than steak because it's light and savory! I think people who really like fish will really enjoy it. It doesn't look special, but it tastes like a real savory + hedgehog. It's amazing.. If you eat it with seaweed, it's heaven...☆ I want to eat it again. There was a waiting for 11 teams because it was the weekend.. . But there was a waiting seat in front of me, so I was able to wait.(It's going to be a table.). The interior of the store was clean and nice. I made nurungji and finally yogurt service ?. It reminded me of an old jajangmyeon place, so it was a good service. I recommend it ?"
455,price,"맛은그럭저럭 먹을만하나 알바가너무불친절했어요ㅜㅜ
맛에비해가격도비싸요","The taste was not bad, but the part-timer was too kind. It's expensive compared to the taste"
456,price,스테이크 솥밥 맛있어요. 와사비 살짝 올려서 먹으면 질리지않고 술술 들어갑니다. 양도 성인 여자 먹기 적당합니다. 다만 언제나 웨이팅이 많고 가격이 비싸요?,"Steak pot rice is delicious. If you eat it with wasabi, you won't get tired of it and go in smoothly. The amount is suitable for adult women. However, there is always a lot of waiting and the price is high ?"
457,price,"자주방문해서 먹는데, 그 사이 가격이 더 올랐네요. 11시30분 오픈에 맞춰 미리 도착하지 못하면 한타임 웨이팅해야합니다. 한 테이블 웨이팅하고 들어갔어요. 한 30분 기다린듯합니다. 들어가면 미리 주문해 놓은 솥밥이 바로 나오긴 해요. 깔끔하게 잘 먹었습니다.

www.instagram.com/sunny_choh","I often visit and eat it, but the price has gone up more in the meantime. If you don't arrive in advance in time for the 11:30 opening, you have to wait one time. I waited for one table and went in. I think I've been waiting for about 30 minutes. When you go in, the pot rice you ordered comes out right away. Thank you for the clean meal.. . . www.instagram.com/sunny_choh"
458,price,조금 웨이팅해서 먹었는데 성수동 치고는 굉장히 합리적인 가격에 먹을 수 있어서 좋았구 맛있었어요ㅎㅎ,I waited a little bit and it was good because I could eat it at a reasonable price considering Seongsu-dongHaha
459,price,가격대비 맛은 아쉽내요.. ㅠㅠ ; 꼬막은해감이 덜 된 것 같았어요. 모레가 씹혀서 좀.. 스테이크는 맛있엇어요.  소스도 데리야키 느낌이라 특하고! 그리고 솥밥 누룽지는 무슨 맛인지 모르겟어요 ㅠㅅ ㅠ 힝.그리고 비벼먹을 그릇 큰걸로 주세요?,"The price and taste are disappointing.. The cockles didn't seem to be ready yet. The day after tomorrow is a bit.. The steak was delicious.  The sauce tastes like teriyaki, so it's unique! And I don't know what the scorched rice tastes like I'm sorry.And a large bowl to mix, please?"
460,price,가격 합리적이고 스테이크솥밥이 젤 베스틉니다,The price is reasonable. Steak pot rice is the best
461,price,친절합니다ㅎㅎ 가격대비 양과 맛은 보통입니다..! 그래도 한번 가보기 좋은 곳 같습니다~~,Kind. The amount and taste are average compared to the price! But I think it's a good place to go~~
462,price,조금 가격대가 있지만 그래도 맛있는 솥밥집입니다!!,"It's a bit expensive, but it's a delicious pot rice restaurant!!"
463,price,"맛있는 한끼 좋아요~
솥밥 좋아하는데 간도 짜지않고 적당해서 좋았어요 
가격은 점심으론  조금 비싼듯?
","I like a delicious meal. I like hot pot rice, but I liked it because it was not salty and just enough. The price seems a little high for lunch ?."
464,price,"가격대비 양이 적어요.
남자라서 그런가??",The amount is small for the price.. Is it because I'm a man
465,price,도미관자솥밥 담백하고 깔끔하게 맛있어요 가격대가 좀 있긴하지만 재료가 좋으니깐 다음에 또 올거같아요,"It's very clean and delicious There's a price range, but the ingredients are good, so I think I'll come back next time"
466,price,가격은 비싸지만 맛이 있네요. 단지 대기가 있는데 더운여름 밖에서 기다리긴 힘드네요,"It's expensive, but it' It's just that there's an atmosphere, but it's hard to wait outside in the hot summer"
467,price,가격대가 좀 있는 편이지만 가끔 생각날 메뉴,"It's a bit pricey, but the menu that comes to mind sometimes"
