id,category,text,trans_text
381,service,"일본어로 씌여 있어 한 바퀴 더 돌아 찾아냈습니다?
출입문 바로 옆 전번을 입력하고 대기합니다~
메뉴 주문까지 포함, 20분 정도 웨이팅 한 후 입장, 매우매우 친절하고 음식 맛도 나쁘지 않았습니다.

재방문의사 있어요?주차가능한 솔솥은 찾기 힘들어 더욱 좋으네요?가게 앞 바로 주차 가능-협소하지만요^^-","It was written in Japanese, so I went around one more time and found it ?. Enter the number right next to the door and wait. After waiting for about 20 minutes, including ordering the menu, the entrance was very friendly and the taste of the food was not bad.. . I'm willing to revisit? It's even better because it's hard to find a brush pot that can be parked. ? Parking is possible right in front of the store. - Although it's small^^-"
382,service,한식먹고 싶어서 검색하다 방문한곳인데 너무 만족한 식사였어요 직원분들 하나같이 다 친절하시고 재료도 아낌없이 주시는데 맛있어서 누룽지까지 순삭했어요 새우튀김은 꼭 드세요,"I was searching for Korean food and I was very satisfied with the meal All the staff members were so kind and generous with the ingredients, but it was so good that I even ate nurungji Make sure you eat fried shrimp"
383,service,"음식 플레이팅 예쁘게 나오는곳 좋아해서
솥밥 좋아하는데 여기 정말 예쁘게 나오고
먹음직스러운게 맛까지 좋아서 좋아하는곳 입니다
직원분들도 친절하세요
메뉴도 취향껏 골라서 먹을수 있어서 좋아요","I like places where food plating comes out pretty. I like hot pot rice, but it comes out really pretty here. I like this place because it looks delicious and tastes good. The staff are kind, too. It's good that you can choose what you like"
384,service,친구랑 식사하러 갔어요.  웨이팅은 길긴했지만 음식이 정말정말 맛있어서 웨이팅한 시간이 아깝지 않게 느껴지더라고요! 직원분들도 너무 친절하시고 매장 인테리어도 너무 제스타일로 깔끔 그 자체였어요!  이렇게 또 성수 맛집을 알아가네요?,"I went to eat with my friend.  The waiting time was long, but the food was really delicious, so I felt like I didn't waste the waiting time! The staff were so kind and the interior of the store was very clean in my style!  I'm getting to know good restaurants in Seongsu. ?"
385,service,"일본간판(?)의 한식 솥밥집! 맛있어요?
스테이크 솥밥과 도미 솥밥 먹었는데, 스테이크가 조금 더 맛있었어요(개인적인 취향)?
도미솥밥도 버터녹여서 김이랑 소스찍어먹으면 맛있어요! 부드러운 살에 적당한 버터밥이 어울려져서 좋아요!

그것보다 충격적인건 유린기가 생각외로 진짜 맛있었어요! 중식집보다 더 맛있었던거 같아요!
다음에도 꼭 시킬 메뉴!?

그리고 직원분이 친절하고 설명도 잘 해줘서 좋았어요 맛집!??


","A Korean hot pot rice restaurant in Japan! It's delicious ?. I had steak pot rice and sea bream pot rice, and the steak was a little more delicious (personal taste) ?. Seaweed pot rice is also delicious if you melt butter and dip it in seaweed and sauce! It's good that soft meat goes well with proper butter rice! What's more shocking than that is that the yuringi was more delicious than I thought! I think it was more delicious than the Chinese restaurant! I'll make sure to order it next time! ?. And the staff was kind and explained it well, so it was good. ??. . ."
386,service,"솔솥 정말 애정하는 사람 중 1인인데요,
오랜만에 먹어도 꿀맛이네요??

쫄깃한 도미와 부드러운 관자의 도미관자솥밥은
담백하면서도 감칠맛이 돌아 정신차리고 보면
밥이 다 사라져있는...
멈출 수 없는 맛인데 재료도 신선해서 전혀 비리거나 하지 않아 너무 좋아요ㅠㅠ

스테이크솥밥은 당연히 졸맛탱!!
굽기도 너무 좋아 전혀 질기지 않고,
양념 또한 간이 딱 좋아서 슥싹 비벼서 와사비 살짝 얹어먹으면 이곳이 헤븐...??


새우튀김도 세상 탱글 바삭 ㅠㅠ


직원분들도 세상 친절하셔서 
매번 기분 좋게 맛있게 먹고 오는 것 같아요 ㅎㅎ

주기적으로 먹어야 하는 솔솥 
제가 정말 애정해요????","He's one of my favorites. It's delicious even if it's been a while since I ate it ??. The sea bream pot rice with chewy sea bream and soft temple is. It's light and savory, so if you get a hold of it's. The rice is gone... It's unstoppable, but the ingredients are fresh, so it's not fishy at all. I love itSteak pot rice is definitely delicious!! It's so good to grill that it's not tough at all. The seasoning is perfect, so if you mix it and eat it with wasabi, this place is heaven...??... The fried shrimp is so chewy. . The staff members are so kind. I think I always eat deliciously and enjoy it. A pine pot that I have to eat regularly. I really love it????"
387,service,"스테이크솥밥, 도미관자솥밥 너무 맛있었어요!
밥알 자체가 입에 짝짝 감기는 맛임.
어떻게 먹는지 친절하게 설명해주셔서 더 맛있게 먹을 수 있었습니다?","Steak pot rice, sea bream pot rice was so delicious! BABAL itself is a taste that wraps around your mouth.. They kindly explained how to eat it, so I was able to eat it more deliciously?"
388,service,요즘 솥밥 전문점이 굉장히 많이 보이더라구요. 그중에서도 유명한 솔솥 성수점 방문했어요. 웨이팅은 익히 들어와서 마음의 준비를 하고 갔는데 금요일 12시 반 기준 대기 8팀 있었어요. 웨이팅 걸어놓고 연무장길 구경 하다보니 30분 금방 간것 같네요. 호다닥 가서 미리주문해둔 메뉴를 거의 바로 받을수 있어서 좋았구요. 도미관자 먹었는데 도미와 관자는 부드럽고 같이 주신 김에 싸서 간장에 찍어먹으니 정말 맛있더라구요! 왠지 집에서도 만들어 먹을수 있을 것같지만 그러지 못한 제 똥손을 탓하며 맛있게 싹싹 비웠어요. ,"There are a lot of hot pot rice restaurants these days. Among them, I visited the famous Sol-Sot Seongsu store. I came in well and prepared myself for the waiting, but as of 12:30 on Friday, there were 8 waiting teams. I think 30 minutes went by so quickly after waiting and looking around Yeonmujang-gil. It was nice to be able to get the pre-ordered menu almost immediately. I ate sea bream and sea bream and sea bream were soft and wrapped in seaweed they gave me and dipped it in soy sauce, and it was really delicious! I think I can make it at home, but I emptied it deliciously, blaming my poor hands for not doing so."
389,service,성수동 솥밥하면 솔솥이죠!! 웨이팅필수인데 평일5시쯤가니 한두자리있어서 바로 안내받았어요:) 이후 웨이팅바로생겼지만 식사만하는거라 회전율이 좋아서 금방 자리나더라구요! 와규솥밥은 스테이크도 많이 주시고 도미관자도 담백하고 푸짐하게 주셔서 넘 좋았어요! 특히 사이드 새우튀김 대존맛입니다!! 꼭 드셔보세요!!!마무리 누룽지까지 솥밥 갬성 제대로 즐기고왔네요! 외국인친구나 부모님모시고 조만간 방문예정입니다!!,"When it comes to hot pot rice in Seongsu-dong, it's a sol-pot!! Waiting is a must, but when I went around 5 o'clock on weekdays, there were one or two seats, so I was informed right away :) I got a waiting bar after that, but I only ate, so the rotation rate was good, so I was able to sit down quickly seat! The wagyu pot rice was served with a lot of steak, and the sea bream was light and plentiful, so it was really nice! Especially, the fried shrimp on the side is the best!! Make sure you try it's!!!We really enjoyed the feeling of the rice with the nurungji! I am planning to visit with my foreign friends or parents soon!!"
390,service,"솔솥 다른지점도 가봤었는데 성수점은 특히
더 맛있었어요! 재료들도 좋고 직원분들도 친절하셔서 정말 맛있게 먹고 왔습니다??
유린기는 궁금해서 시킨건데 너무 맛있어서 놀랐어요. 전반적으로 음식 맛이 좋아서 성수가면 자주 갈것 같아요!","I've been to other branches of the pine pot, but especially the Seongsu branch. It was more delicious! The ingredients were good and the staff were kind, so I ate it deliciously??. I ordered Yurinki because I was curious, but I was surprised because it was so delicious. Overall, the food tastes good, so I think I will go to Seongsu often!"
391,service,정성스럽게 지은 따뜻한 솥밥에 재료도 아낌없이 듬뿍 넣어 진짜 맛있어요! 손님이 많아서 바쁜데도 직원 분들이 친절하시고 맛과 서비스 모두 만족스러운 곳입니다 :) ,"It's really good because you put a lot of ingredients in the hot pot rice that you cooked carefully! Even though I am busy with many customers, the staff are kind and I am satisfied with both the taste and service. :)"
392,service,가게가 엄청 깨끗하고 솥밥 종류도 많고 점원분들 사장님 모두 친절하셔서 음식 맛있게 잘 먹고 갑니다.,"The store is very clean and there are many kinds of pot rice, and the clerks and the boss are all kind, so I'm enjoying the food."
393,service,부장님이랑 첫 미팅 끝나자마자 바로 밥먹으러 왔어용 우리 부장님 맛집 콜렉터신데ㅋㅋ 아가야~ 성수맛집 검색해라~ 하셔서 부장님~솥밥 드셔보셨어요~? 요기 완전 핫해요! 해서 왔습니다 부장님 안 민망하시게 설명 친절하게 잘 해주셔서 감사해요 생선 좋아하시는데 특히나 위에 올려진 도미가 통통하고 담백하다고 좋아하셨네요 ㅋㅋ 담엔 장어 먹으러 올게요!,"I came to eat right after the first meeting with the manager. Our manager is a collector of good restaurants They told me to search for good restaurants in Seongsu, so I tried hot pot rice  It's really hot here! That's why I'm here Thank you for your kind explanation so that you don't feel embarrassed You like fish, but you especially liked the sea bream on top because it was plump and light. I'll come to eat eel next time!"
394,service,너무 맛있어요ㅠㅠㅠ 친절하시고 공간도 넓고 건강한 느낌입니다! 양도 많고 누룽지까지 있어서배뚜드리면서 나왓오요,"It's so good He's kind, has a large space, and feels healthy! There's a lot and nurungji, so I came out with a stomachache"
395,service,"친절하게안내해주셔서
감사합니다^^",Thank you for your kind guidance. Thank you ^^
396,service,다들 성수맛집 찾으시면 여기 오세요 솥밥 처음 먹는데도 안에 푸짐하게 재료가 많이 들어가있어서 진짜 맛있고 배부르게 먹고 나왔습니다!! 또 후식 누룽지 주시길래 서비스도 대박....이라고 생각햇네용 ㅎㅎ 글고 갬성 한스푼도 있습니당,"If you're looking for a good Seongsu restaurant, come here It's my first time eating pot rice, but there are a lot of ingredients inside, so I ate it deliciously and full!! Also, I thought the service was amazing because they gave me nurungji for dessert. I also have a spoonful of sentiments"
397,service,직원분들도 친절하시고 도미솥밥도 넘 맛있어서 왕 추천입니다?,"The staff are kind and the sea bream pot rice is really good, so I highly recommend it?"
398,service,"일욜에 방문하고 테이블링 웨이팅 접수하는데 메뉴까지 선정하라고 함. 일행 안와서 메뉴부터 정하는 시스템이라 벌써 맘안듦. 1시간 정도 기다리고 들어왔고 음식 한 10분 후에 나옴. 반찬 다 마르게 나오길래 직원한테 바꿔달라고 했는데 반찬 미리 담아놓은 거라 괜찮다고 하심ㅋㅋㅋㅋ 먹기 전에 이미 기분이 나빠짐.
솥밥인데 밥이 뜨거운 느낌이 없고 데워서 준 것처럼 나옴. 그냥 솥밥 아닌 미지근한 밥을 줌.
먹다가 밑반찬 떨어지는데 벨도 없고, 직원 3명 구석쪽 모여서 폰하고 얘기하는거 보니 부르려다 말았음. 그냥 빨리 먹고 나가기로 함. 
결론적으로, 서비스는 별로인 듯. 여자 직원분 머리 묶지 않고 푼 채로 모자쓰고 일함. 뭐 좀 요청하려는데 직원 부르기가 힘듦. 사장님 서비스 신경 많이 쓰셔야 할 듯!","I visit on Sunday and receive tabling waiting, but I'm also told to select a menu. I don't like it already because it's a system where I choose the menu first because my company didn't come. I waited for about an hour and came back, and the food came out in about 10 minutes later. The side dishes came out dry, so I asked the staff to change them, but they said it was okay because they put the side dishes in advance, but I already felt bad before I ate them.. It's a pot rice, but the rice doesn't feel hot, and it looks like it's been heated. It's not just hot pot rice, but lukewarm rice.. I was going to call you when I was eating side dishes, but there was no bell, and I saw three employees gathered in the corner talking to their phones. I just decided to eat quickly and go out. In conclusion, the service is not good. A female employee works with a hat on without tying her hair. I'm trying to ask for something, but it's hard to call an employee. I think the boss needs to pay a lot of attention to the service!"
