id,category,text,trans_text
0,taste,"짜장면은 맛은 평범한데 양이 많고,
등심탕수육은 고기에서 냄새가 안나고 맛있어요.
짜장면은 소스가 부족한데 요청시 더 주시니 참고하세요.
그리고 갈비짬뽕은 갈비 대 큰게 두개 들어 있어서 가성비가 좋은 거 같아요!","Black Bean Noodles taste normal but have a lot. Sirloin tangsuyuk is delicious without the smell of meat.. We don't have enough sauce for jajangmyeon, but they give us more if you request.. And I think galbi jjamppong has two large ribs, so I think it's cost-effective!"
1,taste,"군만두 한입 베어 물면 육즙이 진하게 느껴지네요. 간도 적당해서 굳이 간장 찍지않아도되네요. 낙지짬뽕의 낙지는 넘질기네요.
건물에 딸린 주차장은 넘 좁아서 좀 떨어진 곳에 마련된 주차장을 이용해야합니다.","If you take a bite of fried dumplings, you can feel the juiciness. It's seasoned enough, so you don't have to dip it in soy sauce. Octopus jjamppong's octopus is very chewy.. The parking lot attached to the building is too small, so you have to use the parking lot that is a little far away."
2,taste,"기본 짬뽕인데 양이 엄청많아서 갈때마다 배부르게 먹을수 있어요!!낙지짬뽕은 낙지가 푸짐하고 쫄깃해서 정말 맛있더라구요 다음에 또먹을거에요

직원분들도 친절하시고 맛있어서 기분좋게 식사했습니다??","It's a basic jjamppong, but it's a lot, so you can eat it full every time you go!!Octopus jjamppong is really delicious because it's full of octopus and chewy I'll eat it again next time. . The staff were kind and delicious, so I had a great meal??"
3,taste,"낙지짬뽕,탕수육 강추
국물개운하니 맛나요 양도많고!!
재료아낌없이 넣은 느낌이라 만족스럽습니다","Octopus jjamppong, sweet and sour pork strongly recommended. The soup is refreshing, so it's delicious. There's a lot! I'm satisfied because it feels like I added a lot of ingredients"
4,taste,갈비 짬뽕이 시그니처라고 해서 주문해 봤어요 ㅎㅎ처음 먹어보는 갈비짬뽕인데 국물도 진해서 그런지 진짜 맛있더라구요?? 갈비도 큼직하고 양도 너무 많아서 남겼어요 ㅜㅡ 탕수육도 쫀떡하고 튀김옷이 두껍지 않아서 저한테는 맛있게 먹었어요 ~~~~ㅎㅎ  사장님도 엄청 친절하세요 재방문 무조건 추천이에여! ,"Galbi jjamppong is the signature dish, so I ordered it It's my first time eating galbi jjamppong, but it was really delicious because the soup was thick?? I left it because the ribs were big and the amount was too much The tangsuyuk was chewy and the batter wasn't thick, so I ate it deliciously The boss is very kind, too It's definitely recommended to revisit!"
5,taste,"자주 방문하는 맛집입니다 

24시간이라 언제든지 찾는 중국집으로
가격,맛, 양 매우 만족입니다","It's a popular restaurant. It's a 24-hour Chinese restaurant. I am very satisfied with the price, taste, and amount"
6,taste,양도 많고 푸짐하고 맛있어요 ~~,It's a lot and it's good ~~
7,taste,"소갈비 짬뽕 양 진짜 많아요. 삼선짜장은 좀 짭니다.
양 많아서 탕수육은 안시키길 잘했네요~",There's a lot of beef ribs and jjamppong. Samseon jajangmyeon is a bit salty.. I'm glad I didn't order tangsuyuk because it was a lot
8,taste,"여러번 치댄 수제면이라 해물짬뽕, 짜장면 다 맛있어요. 전복, 홍합 등 해물 많이 들어있고 적당히 매콤하구요. 특히 수제만두가 넘 맛있었어요~","Seafood jjamppong and jajangmyeon are all delicious because they are handmade noodles that I cooked several times. It has a lot of seafood such as abalone and mussel, and it's moderately spicy. Especially, handmade dumplings were so good"
9,taste,맛있게 잘먹었어요,I really enjoyed the meal.
