id,category,text,trans_text
425,price,"탕수육 소 가격대비 양이 너무 적어요 ㅠㅠ
갈비짬뽕 리뷰 보고 기대하고가는데 
맛을제입맛에별루요 양을 너무 적어요
쟁반짜장 다른곳 쟁반짜장 가격에 비해 해물이 너무없어요 맛을 짜파게티 먹는 맛있에요 
리뷰보고가는데 실망입니다 그리고 
주차담당분 완전매너 없네요 


","It's too small for the price of the tangsuyuk filling ㅠㅠ?????. I'm looking forward to the review of Galbi Jjamppong. I don't like the taste because it's too small. Tray jajangmyeon. Compared to the price of tray jajangmyeon in other places, there's not much seafood It's good to eat Chapagetti. I'm disappointed when I read the reviews And the parking manager is completely out of manners."
426,price,맛있는데 가격은 좀 있어요,"It's good, but it's a bit expensive"
427,price,군만두랑 옛날볶음밥 맛있어요~ 갈비짬뽕은 맛이 없는건 아닌데 가격대비 평범한 맛이에요..면이 맛없어서 밥이랑 먹는게 딱이에요.,"Fried dumplings and old fried rice are good Galbi jjamppong is not bad, but it tastes normal for its price..It's perfect to eat it with rice because the noodles are not good."
428,price,가격이 저렴한건 아니지만 진짜 맛있어요,"It's not cheap, but it's really good"
429,price,짬뽕은 야채와 해물 불맛 좋고 짜장면은 순한맛입니다 탕수육은 가격대비 양이 적어요 전체적으로 맛과양에비하면 비쌉니다ㅜㅜ,"Spicy seafood and vegetables are good, and black bean noodles are mild Tangsuyuk is not expensive compared to the price. Overall, it's expensive compared to the taste and amountㅜㅜ"
430,price,"너무 짜고 가격대가 맛에 비해 많이 비싸네요.
7천원만해도 충분할 맛입니다.
너무 짜요...","It's too salty and the price is very expensive compared to the taste.. 7,000 won is enough taste.. It's too salty..."
431,price,가격이 비싸서 걱정했는데 양이 푸짐하고 맛있어요~,"I was worried because it was expensive, but the portion was plentiful and delicious"
432,price,가격대비 양도 많고 맛나용,It's a lot for the price and it's delicious
433,price,지인짜 맛있어요 얼큰하고 해물도 많고 먼도 수타로 뽑아서 8천원 이란 금액이 아깝지 않아요,"It's delicious. It's spicy and has a lot of seafood. It's not a waste of 8,000 won"
434,price,"면발쫄깃하고 짜장 짬뽕 정말 맛있어요!
다만 주차장이 협소해 아쉬워요
아기의자도 있어요!
가격이 좀 쎔","Noodles and jjajang and jjamppong are really good! But it's a shame that the parking lot is small. There's a baby chair, too! The price is a bit high"
