,div,cont
0,taste,"자주는 못가지만 영통갈때마다 들려요
너무맛있음 ㅠ 주차장이 좀 더 넓으면 얼마나 좋으꼬"
1,taste,"감자탕에 뼈 양도 많고 살코기도 많이 붙어있어요!!! 당면이랑 떡사리 등 사리 종류가 다양해요
근데 볶음밥은 별로에여.."
2,taste,친구랑 한뚝빼기 하고 왔어요. 맛나네요^^
3,taste,세상에 가성비 미쳤어요ㅋㅋ학교 앞에서 성공하는데는 다 이유가 있나봐여!! 저희는 직장인들끼리 모임을 했는데 진짜 배터지게 먹고 술도 마시고 했는데 계산할 때 어케 돈이 이거밖에 안 나왔지? 했어요ㅋㅋㅋ국물 존맛탱이구 라면사리 추가는 진짜 필수인듯♡ 사장님 번창하세요😆
4,taste,뼈해장국 굉장히 맛있네요!
5,taste,"잡내없고, 맛있어요!
칼칼하게 입을 당기는 맛!!"
6,taste,"양도많고,맛있어요"
7,taste,"아들 추천으로 
맛있게 먹고왔어요~♥️
찐 맛집이네요
재방문 할게요 감사합니다🎶"
8,taste,양이 많고 가성비가 좋아요. 기대했으나 맛은 보통.맵네요. 김치는 맛있어요.  근데 직원들이 불친절하고 퉁명스러워요. 특히 나이 많으신 아주머니.. 벨은 고장나서 안 눌리고 직원들은 불러도 몸은 오지도 않고 다들 그자리에서 쳐다보면서 대답하시네요. 부엌 쪽에서 슥 보시면서 뭐 필요하냐고 물어봐서 당황했어요ㅋ 그런 것 때문에 기분 상할 일이 이것저것 많을 것 같은 가게네요
9,taste,맛있고 항상 손님이 북적한 집
10,taste,맛있어요 샤람이많으네요^^
11,taste,"직원분들 친절하심
감자탕 맛있고 재료 신선해요
고기 진짜 맛있고 당면 배추 떡 다 맛있음 ㅠㅠ
좌식 입식 있어서 골라 앉을 수 있음
굿굿"
12,taste,너무 맛있습니다🥰 또가야지~~ 
13,taste,양도 짱 맛도 짱
14,taste,"감자탕전골 맛있게 먹고 싶을때 종종 갑니다
역시 감자탕에 소주한잔 좋네요"
15,taste,딸기라떼 맛있어요
16,taste,음식 완전 빨리 나와서 좋아요!! 물론 맛도 좋아요!!
17,taste,감자탕은 수누리가 짱
18,taste,항상 맛있게 먹는 수누리~ 고기도 맛있고 국물도 맛있어요!
19,taste,"미친맛
뼈해장국도 맛있지만
감자탕이 더 맛나요"
20,taste,"오래된맛집
변함없는맛
최고👍"
21,taste,"오랜 시간 같은 자리에 있는 감자탕 집입니다
오오오 감자탕 얼큰하고 우거지 듬뿍, 고기 부드럽고
맛있어요!! 경희대 맞은 편에 있어서 주변에 들릴 일 있으면 또 갈 것 같아요😊"
22,taste,얼큰하고 맛있어요 
23,taste,양도 많고 맛있어요
24,taste,언제나 뼈다귀전골은 굿~
25,taste,"다른 곳에서 절대 해장국 안먹고 영통점 수누리 뼈해장국만 먹는데 최근 들어 주방에 일하시는 분이 바뀌셨는지 아님 사장님이 바뀌셨나요? 
맛이 너무 예전보다 못한 거 같습니다. 
고기도 퍽퍽하고 국물도 뜨겁지 않았습니다. "
26,taste,감자탕 맛있어요
27,taste,맛있어요
28,taste,"감자탕은 항상 수누리만 옵니다.
영통 맛집 인정"
29,taste,맛있어용
30,taste,맛있어요
31,taste,뼈해장국 신랑이랑 맛있게 잘먹었어요 ! 후식으로 아이스크림 좋아요^^
32,taste,맛있어요 
33,taste,맛있어요 
34,taste,맛있어요 
35,taste,"영통지역 감자탕계의 클래식
일단 맛 보시라~~"
36,taste,맛있어요~진짜진짜♡
37,taste,맛있게 먹었습니다! 
38,taste,"주차도 가능하고
뼈감자탕 맛있어요
비오는 날씨랑 잘 맞아서인지
사람들이 계속 오더라구요
먹고 나니 속이 든든~"
