id,category,text,trans_text
0,taste,"자주는 못가지만 영통갈때마다 들려요
너무맛있음 ㅠ 주차장이 좀 더 넓으면 얼마나 좋으꼬","I can't go often, but I hear it whenever I go to the video call. It's so delicious. How nice would it be if the parking lot was wider"
1,taste,"감자탕에 뼈 양도 많고 살코기도 많이 붙어있어요!!! 당면이랑 떡사리 등 사리 종류가 다양해요
근데 볶음밥은 별로에여..",Pork back-bone soup has a lot of bones and meat on it!!! There are various kinds of noodles such as glass noodles and rice cake sari. But I don't like fried rice..
2,taste,친구랑 한뚝빼기 하고 왔어요. 맛나네요^^,I played with my friend. It's delicious ^^
3,taste,세상에 가성비 미쳤어요ㅋㅋ학교 앞에서 성공하는데는 다 이유가 있나봐여!! 저희는 직장인들끼리 모임을 했는데 진짜 배터지게 먹고 술도 마시고 했는데 계산할 때 어케 돈이 이거밖에 안 나왔지? 했어요ㅋㅋㅋ국물 존맛탱이구 라면사리 추가는 진짜 필수인듯♡ 사장님 번창하세요?,"The cost-effectiveness is crazyThere must be a reason for success in front of the school!! We had a group of office workers, and we ate a lot and drank a lot. I wondered how this was the only amount of moneyLol, the soup is so delicious and adding ramen noodles is a must. ♡ Boss, have a prosperous life?"
4,taste,뼈해장국 굉장히 맛있네요!,Pork rib hangover soup is really good!
5,taste,"잡내없고, 맛있어요!
칼칼하게 입을 당기는 맛!!","It doesn't smell bad, it's delicious! It's a taste that makes your mouth dry!!"
6,taste,"양도많고,맛있어요","It's a lot, and it's delicious"
7,taste,"아들 추천으로 
맛있게 먹고왔어요~♥?
찐 맛집이네요
재방문 할게요 감사합니다?",My son's recommendation. I ate it deliciously~♥?. It's a real good restaurant. I'll revisit Thank you ?
8,taste,양이 많고 가성비가 좋아요. 기대했으나 맛은 보통.맵네요. 김치는 맛있어요.  근데 직원들이 불친절하고 퉁명스러워요. 특히 나이 많으신 아주머니.. 벨은 고장나서 안 눌리고 직원들은 불러도 몸은 오지도 않고 다들 그자리에서 쳐다보면서 대답하시네요. 부엌 쪽에서 슥 보시면서 뭐 필요하냐고 물어봐서 당황했어요ㅋ 그런 것 때문에 기분 상할 일이 이것저것 많을 것 같은 가게네요,"It's a lot and cost-effective. I expected it, but the taste is normal.It's spicy. Kimchi is delicious.  But the staff are unfriendly and curt. Especially the old lady.. The bell is broken, so it doesn't ring, and the staff don't come, but everyone looks at it and answers. I was embarrassed when I saw it from the kitchen and asked what I needed. It's a store that seems to have a lot of things to be offended by"
9,taste,맛있고 항상 손님이 북적한 집,a delicious and always crowded house
10,taste,맛있어요 샤람이많으네요^^,It's good. There's a lot of Sharam^^
11,taste,"직원분들 친절하심
감자탕 맛있고 재료 신선해요
고기 진짜 맛있고 당면 배추 떡 다 맛있음 ㅠㅠ
좌식 입식 있어서 골라 앉을 수 있음
굿굿","Staff members are so kind. Gamjatang is delicious and the ingredients are fresh. The meat is really good and all the cabbage rice cakes are good. You can choose a seat because you have a standing seat. Good, good"
12,taste,너무 맛있습니다? 또가야지~~ ,It's so good. ? I'll go again
13,taste,양도 짱 맛도 짱,The amount is the best. The taste is also the best
14,taste,"감자탕전골 맛있게 먹고 싶을때 종종 갑니다
역시 감자탕에 소주한잔 좋네요",I often go there when I want to eat gamjatang jeongol deliciously. Pork back-bone stew and soju are good
15,taste,딸기라떼 맛있어요,Strawberry latte is good
16,taste,음식 완전 빨리 나와서 좋아요!! 물론 맛도 좋아요!!,"I'm so happy that the food came out so quickly!! Of course, it tastes good!!"
17,taste,감자탕은 수누리가 짱,Sunuri is the best for gamjatang
18,taste,항상 맛있게 먹는 수누리~ 고기도 맛있고 국물도 맛있어요!,"Sunuri, who always eats deliciously, the meat is delicious and the soup is delicious!"
19,taste,"미친맛
뼈해장국도 맛있지만
감자탕이 더 맛나요","Crazy taste. Pork rib hangover soup is good, too. Pork back-bone stew tastes better"
20,taste,"오래된맛집
변함없는맛
최고?",an old restaurant. Best ?
21,taste,"오랜 시간 같은 자리에 있는 감자탕 집입니다
오오오 감자탕 얼큰하고 우거지 듬뿍, 고기 부드럽고
맛있어요!! 경희대 맞은 편에 있어서 주변에 들릴 일 있으면 또 갈 것 같아요?","It's a pork back-bone stew restaurant that's in the same place for a long time. Oh! Pork back-bone stew with lots of beef. The meat is soft. It's good! It's across from Kyung Hee University, so I think I'll go again if I have to stop by?"
22,taste,얼큰하고 맛있어요 ,It's spicy and delicious
23,taste,양도 많고 맛있어요,There's a lot and it's delicious
24,taste,언제나 뼈다귀전골은 굿~,Bone hot pot is always good
25,taste,"다른 곳에서 절대 해장국 안먹고 영통점 수누리 뼈해장국만 먹는데 최근 들어 주방에 일하시는 분이 바뀌셨는지 아님 사장님이 바뀌셨나요? 
맛이 너무 예전보다 못한 거 같습니다. 
고기도 퍽퍽하고 국물도 뜨겁지 않았습니다. ","I never eat hangover soup anywhere else, but I only eat Sunuri bone hangover soup at Yeongtong store, but has the person who works in the kitchen changed or the owner changed recently. I think it tasted worse than before. The meat was dry and the soup wasn't hot."
26,taste,감자탕 맛있어요,Pork back-bone stew is good
27,taste,맛있어요,It's good
28,taste,"감자탕은 항상 수누리만 옵니다.
영통 맛집 인정",Pork back-bone stew always comes to Sunuri.. I admit that it's a good place
29,taste,맛있어용,It's good
30,taste,맛있어요,It's good
31,taste,뼈해장국 신랑이랑 맛있게 잘먹었어요 ! 후식으로 아이스크림 좋아요^^,I enjoyed the pork rib hangover soup with the groom! I like ice cream for dessert^^
32,taste,맛있어요 ,It's good
33,taste,맛있어요 ,It's good
34,taste,맛있어요 ,It's good
