id,text,category,polarity
en_ParkChaletGardenRestaurant_477778210:3,When I got there I sat up stairs where the atmosphere was cozy & the service was horrible!,service,0
en_MercedesRestaurant_478010603:4,"Can get busy on Fridays for a table but once seated, the service is so efficient you can be in and out of there quickly.",service,1
3511,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",service,0
2846,"Not only was the food outstanding, but the little 'perks' were great.",service,1
en_SchoonerOrLater_477965850:7,"A brief conversation with the manager at the end of the meal was the greatest disappointment--to say we had been ""blown off"" would be an understatement.",service,0
BG#5:5,"Also, waiters try to push more food on you, like suggest things as if they are complimentary when they actually cost $.",service,0
BFC#7:6,"I was almost amused by the fact that she was turning away customers at 9pm on a Friday night because she ""had a BBQ to go to"" that night - WTF??",service,0
BFC#7:7,I'd be horrified if my staff were turning away customers so early and so rudely!,service,0
1070,A little crowded but they move that line really fast!,service,1
1161,"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",service,1
1602,"Service is great, takeout is good too.",service,1
843,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,service,1
en_ParkChaletGardenRestaurant_477778211:4,We put out name down and although there were open tables we were told that it'd be a 30 minute wait.,service,0
366,"We could not catch our waiter's eye, and he ignored us.",service,0
3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,1
3663,And they provided a delicious dessert on the house!,service,1
503,"Service was excellent, and the AC worked very well too (thank God, it was hot!).",service,1
480,The waitresses are nice--also you can just get counter service sit.,service,1
1790,I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!,service,0
BFC#7:3,"Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return.",service,1
3144,I had to share my table with a loud group of kids and the service was rude an unattentive.,service,0
2657,"Last memorial day, I tried to make reservations but was told they were closed that weekend (interesting, but...).",service,0
11302357#835238#1,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.",service,0
TFS#10:7,When we inquired about ports - the waitress listed off several but did not know taste variations or cost.,service,0
347,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",service,0
1642,I've rarely had a problem with slow staff in the 10 years I've been going.,service,1
Y#5:4,The waitress was not attentive at all.,service,0
en_SchoonerOrLater_477965850:1,"? Schooner or Later's charming location along the marina in Long Beach and average food does not, unfortunately, compensate for its very poor customer service.",service,0
1420,"Note that they do not serve beer, you must bring your own.",service,0
3661,We walked in on a Wednesday night and were seated promptly.,service,1
2341,We arrived on time for our reservation and seated promptly.The,service,1
en_StackRestaurant__Bar_478538111:4,The service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters.,service,1
ADLT#6:0,"Maitre-D-""Eat and get out""",service,0
2479,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.,service,1
2768,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,1
16,"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",service,1
en_OpenSesame_477970938:8,The staff are friendly and the decor was ethic and colorful.,service,1
2443,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",service,1
3319,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,service,1
1739,Always great service!,service,1
754,"It's really also the service, is good and the waiters are friendly.",service,1
BFC#7:0,Fabulous food - if the front of house staff don't put you off ?,service,0
en_ProfessorThom's_478606540:3,"Every time ""0-sixtynine"" is called the bartender buys everyone drinks!",service,1
en_SchoonerOrLater_477965850:3,"As part of a small party of four, our food was dropped off without comment;",service,0
2965,It's easy to get a table for a large group and you don't get hustled out.,service,1
2126,Very good service and very good prices.,service,1
3137,"Also, if you don't want to sit at a certain table, you don't have to!",service,1
1660047:4,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",service,0
en_MiopostoCaffe_478542922:8,It's a great little place with tons of potential to be a neighborhood joint if the service weren't so impersonal and corporate-like.,service,0
3493,"Ambience is delightful, service impeccable.",service,1
en_OpenSesame_477970936:5,Our server was very professional and friendly.,service,1
3236,You get the sense that the people there care about their restaurant and about your experience and that is very nice.,service,1
BG#5:6,I don't appreciate places or people that try to drive up the bill without the patron's knowledge so that was a huge turnoff (more than the price).,service,0
1483,"They're also friendlier here, especially the owner, Kenny.",service,1
DBG#7:12,She just nodded and walked off.,service,0
11351745#499992#0,The wait staff was very attentive and polite.,service,1
2128,Highly recommend this as great value for excellent sushi and service.,service,1
BG#1:2,Great survice,service,1
1795,It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.,service,0
2440,An excellent service,service,1
1611,And it was quick which is very important.,service,1
164,The entire place and the treatment we received felt as a conveyor belt.,service,0
3103,"Ask for Usha, the nicest bartender in manhattan.",service,1
2131,Everyone is welcomed in as family.,service,1
414,"Average to good Thai food, but terrible delivery.",service,0
2455,"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.",service,1
1519,"The staff is excellent, specjal: that girl behind the bar, european chic.",service,1
Y#6:2,"An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.",service,1
492,The servers give you some sample slices of your order while you wait (shortly I might add).,service,1
3505,"When he's not making authentic Neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers.",service,1
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,1
3186,"The staff are attentive, and have smiles on their faces.",service,1
568,"To my right, the hostess stood over a busboy and hissed rapido, rapido as he tried to clear and re-set a table for six.",service,0
11351819#985076#1,The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,service,0
1100,"Both times I was extremely dissappointed by the service, which was boarderline rude.",service,0
en_SchoonerOrLater_479842021:8,It was clear he didn¡¯t really care.,service,0
en_CatalRestaurant__UvaBar_477862052:9,Although the service could be improved considering the money you put in.,service,0
11351513#832512#1,the two waitress's looked like they had been sucking on lemons.,service,0
922,but the service was a bit slow.,service,0
3205,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",service,1
en_SchoonerOrLater_479842021:5,We had a very hard time getting the waitress' attention and finally had to get up and go inside to speak to a manager.,service,0
en_ProfessorThom's_478606538:4,"The food is great, the bartenders go that extra mile.",service,1
3235,"The staff has always been friendly without seeming grating, and the chef has greeted us on a couple of occasions.",service,1
3121,But the staff was so horrible to us.,service,0
518,"A very inviting restaurant, with friendly service.",service,1
TFS#10:2,The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.,service,0
1728733:1,We were greeted promptly by the waiter who was very nice and cordial.,service,1
en_ParkChaletGardenRestaurant_477778211:7,"We went back to the restaurant and low and behold, we were seated at one of the tables that was available 30 minutes ago!!",service,0
979,The service is descent even when this small place is packed.,service,1
3443,service was efficient courteous.,service,1
DBG#2:9,None was made so i hung up.,service,0
2364,"Cute place, nice wait staff but would never go there again.",service,1
3647,We were seated and ignored by waitstaff.,service,0
2191,Faan's got a great concept but a little rough on the delivery.,service,0
2989,We didn't get drink refills and she didn't even offer us the option of dessert.,service,0
en_ParkChaletGardenRestaurant_477778211:12,Oh I forgot to mention that they don't have bread service.,service,0
ADLT#6:2,"The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.",service,1
1800,"We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.",service,0
2585,Delivery service is great too.,service,1
en_BlueRibbonSushi_478218518:4,"However, they do take your cellphone numbers so that you can go hang out somewhere else till they call you up on your cellphone.",service,1
2521,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,0
FF#10:11,"I wish I could like this place more, and I wish someone would retrain the staff.",service,0
1118,"If you go to Roth's try to be served by Mike, he is GREAT!!",service,1
1033,Delivery is fast too.,service,1
CLF#8:6,The manager was rude and handled the situation extremely poorly.,service,0
1057,Drawbacks: service is slow and they don't toast!,service,0
1530,I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,service,0
33071731#1007204#4,The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,service,0
888,No one asked what was wrong as we left with nothing touched on our plates.,service,0
3341,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",service,0
